pin_code,low_risk_count_0,high_risk_count_1,total_customers,state,zone,district,latitude,longitude
491885,9,8,17,Chattisgarh,,Rajnandgaon,21.513848161612177,80.95187864759491
752110,6,9,15,Odisha,Bhubaneswar HQ,Puri,19.95847096710273,86.02082644225064
752111,8,8,16,Odisha,Bhubaneswar HQ,Puri,19.903392371190904,86.10027609540035
752113,11,8,19,Odisha,Bhubaneswar HQ,Puri,20.050616551265794,86.07736896320742
535160,9,10,19,Andhra Pradesh,Visakhapatnam,Vizianagaram,18.148500377786497,83.22228313992734
535161,14,12,26,Andhra Pradesh,Visakhapatnam,Vizianagaram,18.008090769431757,83.15311721937337
272270,8,7,15,Uttar Pradesh,Gorakhpur,Basti,26.98812204318068,83.04392858265345
272271,8,5,13,Uttar Pradesh,Gorakhpur,Basti,26.948612061663134,83.15591119776263
523186,7,12,19,Andhra Pradesh,Vijayawada,Prakasam,15.673811818409161,80.19294657307485
523185,6,8,14,Andhra Pradesh,Vijayawada,Prakasam,15.828661232242595,80.23409736317679
788156,6,5,11,Assam,,Cachar,24.6764736391672,92.43271788527883
788155,10,11,21,Assam,,Cachar,24.680992725221515,92.61105439504554
523187,8,13,21,Andhra Pradesh,Vijayawada,Prakasam,15.763184887810022,80.32387500196185
752107,10,10,20,Odisha,Bhubaneswar HQ,Puri,20.01868151284994,86.14533180359733
752108,13,9,22,Odisha,Bhubaneswar HQ,Puri,20.006479678894493,86.19153806903286
523180,11,8,19,Andhra Pradesh,Vijayawada,Prakasam,15.595779443121423,80.16498347314821
752109,9,7,16,Odisha,Bhubaneswar HQ,Puri,19.963753891323247,86.2845822612289
752103,11,4,15,Odisha,Bhubaneswar HQ,Bhubaneswar,20.149798667392712,86.0156695537647
788150,12,7,19,Assam,,Cachar,24.752412221976346,92.59323634510702
523182,7,8,15,Andhra Pradesh,Vijayawada,Prakasam,15.543859865329972,80.13783972402064
752104,11,7,18,Odisha,Bhubaneswar HQ,Puri,20.114640742227447,85.84081004334372
523181,6,9,15,Andhra Pradesh,Vijayawada,Prakasam,15.734825398945642,80.22971901658234
788152,15,10,25,Assam,,Cachar,24.695991213953807,92.52538507200593
752105,10,8,18,Odisha,Bhubaneswar HQ,Puri,20.02922291329065,85.89199794374632
523184,13,10,23,Andhra Pradesh,Vijayawada,Prakasam,15.749866817857846,80.26904035088486
752106,13,16,29,Odisha,Bhubaneswar HQ,Puri,20.052195877507096,86.00994066458856
788151,14,9,23,Assam,,Cachar,24.678700205790072,92.55743215451315
523183,13,8,21,Andhra Pradesh,Vijayawada,Prakasam,15.661861617393177,80.09693715738511
788165,6,9,15,Assam,,Cachar,24.383570182414758,92.59386022343885
788164,7,7,14,Assam,,Cachar,24.601856189348855,92.5496677398743
824301,19,5,24,Bihar,,AurangabadBihar,24.63113473917377,84.14604641567985
523155,8,8,16,Andhra Pradesh,Vijayawada,Prakasam,15.813779446285647,80.30795831809414
788166,8,8,16,Assam,,Cachar,24.588995370648053,92.47564607479482
824302,8,7,15,Bihar,,AurangabadBihar,24.537714250461576,84.13540331230995
824303,9,7,16,Bihar,,AurangabadBihar,24.682772646188653,84.07849252893378
523157,4,9,13,Andhra Pradesh,Vijayawada,Prakasam,15.834387369352209,80.3697699469553
788168,12,6,18,Assam,,Cachar,24.608266211783754,92.60739567621131
488222,9,12,21,Madhya Pradesh,Jabalpur,Satna,25.007161917236154,80.40421213074752
824304,9,3,12,Bihar,,AurangabadBihar,24.765809447570234,84.16297256088473
488220,9,2,11,Madhya Pradesh,Jabalpur,Satna,24.89956149494112,80.22164008463669
535128,12,4,16,Andhra Pradesh,Visakhapatnam,Parvathipuram,18.34882159310498,83.56066370859631
476228,7,4,11,Madhya Pradesh,,Morena,26.135194479840894,77.65409931449103
476229,11,6,17,Madhya Pradesh,,Morena,26.24227646233929,77.42863035155874
788161,11,12,23,Assam,,Cachar,24.455265326321594,92.6146166065797
476224,11,8,19,Madhya Pradesh,,Morena,26.354109503742038,77.60388901162071
788160,5,4,9,Assam,,Cachar,24.606753290104958,92.64985559178042
477555,11,9,20,Madhya Pradesh,,Morena,26.677357963002954,78.82756330276473
788163,7,9,16,Assam,,Cachar,24.53224797853794,92.61222004237325
788162,5,12,17,Assam,,Cachar,24.26328681138008,92.50553461516408
477557,12,4,16,Madhya Pradesh,,Morena,26.502217572407144,78.60885791217922
535145,18,7,25,Andhra Pradesh,Visakhapatnam,Vizianagaram,18.16515723309216,83.04421886103052
535148,13,6,19,Andhra Pradesh,Visakhapatnam,Vizianagaram,18.116763144604256,83.19997813295069
464258,8,8,16,Madhya Pradesh,,Vidisha,23.746908705908957,77.76652477004198
523166,6,6,12,Andhra Pradesh,Vijayawada,Prakasam,15.83662169992563,80.42845608151902
523165,13,11,24,Andhra Pradesh,Vijayawada,Prakasam,15.805477752223467,80.33683931049421
523168,11,7,18,Andhra Pradesh,Vijayawada,Prakasam,15.906929041446654,80.35159506609672
523167,5,10,15,Andhra Pradesh,Vijayawada,Prakasam,15.818992148910011,80.17673821025353
523169,6,8,14,Andhra Pradesh,Vijayawada,Prakasam,15.965271572350101,80.29152557604279
477566,8,8,16,Madhya Pradesh,,Morena,26.63897775517754,78.95085880932582
382729,7,10,17,Gujarat,Ahmedabad HQ,Gandhinagar,23.27428978063223,72.44183236819444
464226,8,6,14,Madhya Pradesh,,Vidisha,23.56585478898077,77.63244866516862
394710,23,12,35,Gujarat,Vadodara,Bardoli,20.74531011839782,73.75362528768152
464228,13,6,19,Madhya Pradesh,,Vidisha,24.160937397947176,77.71701027786436
394716,8,6,14,Gujarat,Vadodara,Bardoli,20.93924513534029,73.77057126861888
394715,8,6,14,Gujarat,Vadodara,Bardoli,20.898313737847886,73.57796058390801
464224,18,15,33,Madhya Pradesh,,Vidisha,24.140548558069387,78.00759620555684
606003,6,10,16,Tamilnadu,"Central , Trichirapalli",Vriddhachalam,11.529273616144721,79.33067238462685
606001,6,6,12,Tamilnadu,"Central , Trichirapalli",Vriddhachalam,11.521158786311497,79.32046974221856
382722,6,12,18,Gujarat,Ahmedabad HQ,Gandhinagar,23.12788013398631,72.46096964203848
382721,10,10,20,Gujarat,Ahmedabad HQ,Gandhinagar,23.245324882791103,72.4963069544367
382725,12,7,19,Gujarat,Ahmedabad HQ,Gandhinagar,23.191068489371716,72.46258149494672
476221,5,7,12,Madhya Pradesh,,Morena,26.34458372312293,77.88517214819387
394720,12,9,21,Gujarat,Vadodara,Bardoli,20.59388884434653,73.73187945303356
464240,10,7,17,Madhya Pradesh,,Vidisha,24.024633854116008,78.11446686070943
140401,7,9,16,Punjab,,Patiala,30.483472107153062,76.59058846598694
140402,15,10,25,Punjab,,Patiala,30.50973181227917,76.57884716083744
453556,12,11,23,Madhya Pradesh,Indore,Indore Moffusil,22.62054469479566,75.76790538818913
476219,12,7,19,Madhya Pradesh,,Morena,26.481609341387813,77.80168233349598
140405,8,6,14,Punjab,,Patiala,30.581593293999955,76.33645011816861
140406,15,9,24,Punjab,,Patiala,30.608774240202113,76.41653273365463
453555,9,9,18,Madhya Pradesh,Indore,Indore Moffusil,22.804166896814323,75.86137407667911
140407,8,9,17,Punjab,,Patiala,30.647809888475834,76.39739657795036
453552,9,12,21,Madhya Pradesh,Indore,Indore Moffusil,22.486142249751396,75.92935012113968
140408,13,12,25,Punjab,,Patiala,30.642868918146373,76.51942848356954
670582,10,10,20,Kerala,Calicut,Cannanore,12.137927184810877,75.51664939358893
382740,13,9,22,Gujarat,Ahmedabad HQ,Gandhinagar,23.30453234164323,72.5041274950605
140412,12,10,22,Punjab,,Patiala,30.71267086959771,76.45044813101076
140413,11,9,20,Punjab,,Chandigarh,30.745366706264505,76.56049310916114
670592,12,7,19,Kerala,Calicut,Cannanore,11.938191479108635,75.47186538859984
140417,16,7,23,Punjab,,Patiala,30.44461723083431,76.6959341347666
670591,8,8,16,Kerala,Calicut,Cannanore,11.92182892058198,75.44235546279722
621601,7,7,14,Tamilnadu,"Central , Trichirapalli",Tiruchirapalli,10.873570089994088,78.8195899224918
670595,7,9,16,Kerala,Calicut,Cannanore,11.947586115319766,75.52284833572118
670594,9,10,19,Kerala,Calicut,Cannanore,11.899439725307648,75.41625300951794
670593,11,13,24,Kerala,Calicut,Cannanore,12.006320168533376,75.5647568907453
465550,5,6,11,Madhya Pradesh,Indore,Ujjain,23.796361206665807,75.80212243359892
464221,4,5,9,Madhya Pradesh,,Vidisha,23.889206337909826,77.91690770853978
464220,11,8,19,Madhya Pradesh,,Vidisha,23.712809282772284,77.95934492411764
607301,5,7,12,Tamilnadu,"Central , Trichirapalli",Cuddalore,11.63002856201184,79.65861779281971
607303,4,9,13,Tamilnadu,"Central , Trichirapalli",Cuddalore,11.563314209188075,79.55143543332666
823005,10,7,17,Bihar,,Gaya,24.761019812087063,84.95804397270123
607302,4,6,10,Tamilnadu,"Central , Trichirapalli",Cuddalore,11.576287521722403,79.60876744618372
823004,13,8,21,Bihar,,Gaya,24.74530368098438,84.9550653977359
607308,9,5,14,Tamilnadu,"Central , Trichirapalli",Cuddalore,11.623766641569505,79.55725849437395
823003,11,8,19,Bihar,,Gaya,24.830982407253202,85.04572065816419
823002,8,11,19,Bihar,,Gaya,24.826624698881968,84.968200339379
823001,6,5,11,Bihar,,Gaya,24.77803129032303,84.98745371539495
382735,14,4,18,Gujarat,Ahmedabad HQ,Gandhinagar,23.373922429086377,72.56358753659977
524415,7,16,23,Andhra Pradesh,Vijayawada,Gudur,14.008053491855744,80.08606259753576
524414,10,10,20,Andhra Pradesh,Vijayawada,Gudur,14.281785495419419,79.45475354228174
524421,9,15,24,Andhra Pradesh,Vijayawada,Gudur,13.915170381770395,79.76520163989464
791701,8,8,16,Unknown,Unknown,Unknown,,
126125,7,9,16,Haryana,,Karnal,29.4838928528171,76.33538369382548
523101,10,6,16,Andhra Pradesh,Vijayawada,Prakasam,15.269407536100678,79.98740755346665
523104,11,9,20,Andhra Pradesh,Vijayawada,Prakasam,15.220867780425637,80.05087962123989
126116,8,7,15,Haryana,,Karnal,29.661877015534426,76.09145527711469
126115,7,15,22,Haryana,,Karnal,29.4686438571144,76.1981991497117
848301,11,7,18,Bihar,Muzaffarpur,Samastipur,25.910191161850307,85.83368478594565
848302,10,12,22,Bihar,Muzaffarpur,Samastipur,25.98325748832859,85.77890572489422
453551,8,9,17,Madhya Pradesh,Indore,Indore Moffusil,22.952293058222992,75.78759327179361
394730,10,7,17,Gujarat,Vadodara,Bardoli,20.72017788897112,73.57364468164685
126114,9,14,23,Haryana,,Karnal,29.224028201147938,76.38182323005607
126113,6,8,14,Haryana,,Karnal,29.315427162763033,76.5112846459685
126112,8,9,17,Haryana,,Karnal,29.38238855798566,76.63147381578577
126111,9,13,22,Haryana,,Karnal,29.482445028992164,76.43589426251347
126110,7,8,15,Haryana,,Karnal,29.392202201884096,76.44965119307825
524402,8,10,18,Andhra Pradesh,Vijayawada,Gudur,13.999457703364891,79.87106987787564
524401,8,10,18,Andhra Pradesh,Vijayawada,Gudur,13.556507511904702,80.13198171042988
608601,8,14,22,Tamilnadu,"Central , Trichirapalli",Cuddalore,11.480944669527496,79.63798149271395
608602,14,9,23,Tamilnadu,"Central , Trichirapalli",Cuddalore,11.409620488613772,79.647163093587
524404,16,13,29,Andhra Pradesh,Vijayawada,Gudur,14.070734453217863,79.64885050929273
524403,12,11,23,Andhra Pradesh,Vijayawada,Gudur,13.866188533055135,80.1399856589468
126102,10,8,18,Haryana,,Karnal,29.31487092047461,76.29707717751523
524406,7,7,14,Andhra Pradesh,Vijayawada,Gudur,14.156850829632782,79.78922285908227
126101,8,7,15,Haryana,,Karnal,29.124132512101124,76.41576767023984
524405,9,5,14,Andhra Pradesh,Vijayawada,Gudur,14.239555837080502,79.86179249044079
524408,8,8,16,Andhra Pradesh,Vijayawada,Gudur,14.2450481993776,79.58275244098348
524407,8,4,12,Andhra Pradesh,Vijayawada,Gudur,14.189576830972603,79.69641640069526
524409,9,3,12,Andhra Pradesh,Vijayawada,Gudur,14.287866972297206,79.73403715175637
524411,4,12,16,Andhra Pradesh,Vijayawada,Gudur,14.077297701987447,80.09001691364844
524410,9,7,16,Andhra Pradesh,Vijayawada,Gudur,14.065283861398115,79.91785161470077
524413,11,12,23,Andhra Pradesh,Vijayawada,Gudur,14.035607769814757,80.01560665811346
524412,12,8,20,Andhra Pradesh,Vijayawada,Gudur,14.155714829774169,80.01360325624735
394670,8,9,17,Gujarat,Vadodara,Bardoli,21.14305763704781,73.55822235061969
392012,10,8,18,Gujarat,Vadodara,Bharuch,21.71001161498413,73.018220237079
392011,14,11,25,Gujarat,Vadodara,Bharuch,21.74100755426646,73.04529646944262
670521,10,4,14,Kerala,Calicut,Cannanore,12.192183851046954,75.20824369322719
416549,7,12,19,Maharashtra,Goa-Panaji,SINDHUDURG,15.767050203455868,74.09637768064906
392015,11,7,18,Gujarat,Vadodara,Bharuch,21.733359176540194,72.98846879238391
441502,12,7,19,Maharashtra,Nagpur,Nagpur Moffusil,21.253141320204385,78.7960956124585
441501,13,12,25,Maharashtra,Nagpur,Nagpur Moffusil,21.229226131070874,78.92268881731994
416550,8,11,19,Maharashtra,Goa-Panaji,SINDHUDURG,15.99940506336685,73.6779498566843
176309,11,5,16,Himachal Pradesh,,Chamba,32.36721798114521,76.4498329360165
682501,12,8,20,Kerala,Kochi,Ernakulam,10.115532090369879,76.1987973689124
176306,12,9,21,Himachal Pradesh,,Chamba,32.58466239176606,75.99453993042505
380023,11,7,18,Gujarat,Ahmedabad HQ,Ahmedabad City,23.017999111067063,72.63271983989722
176305,10,12,22,Himachal Pradesh,,Chamba,32.54763789604709,75.96219869740507
380024,3,7,10,Gujarat,Ahmedabad HQ,Ahmedabad City,23.03190779474936,72.62906674254255
151007,11,3,14,Punjab,Punjab West,Bhatinda,30.269762011405668,74.78117139433081
682502,13,9,22,Kerala,Kochi,Ernakulam,10.091862981492973,76.2066699724916
380021,5,9,14,Gujarat,Ahmedabad HQ,Ahmedabad City,23.017111471762192,72.61550582317213
176308,14,8,22,Himachal Pradesh,,Chamba,32.635004325881,75.96607828996831
151006,8,12,20,Unknown,Unknown,Unknown,,
176307,11,10,21,Himachal Pradesh,,Chamba,32.60471377326293,76.25885536327314
380022,5,10,15,Gujarat,Ahmedabad HQ,Ahmedabad City,23.009807362195474,72.59082071256296
151005,8,8,16,Punjab,Punjab West,Bhatinda,30.168053552719613,74.87883671179948
380027,7,4,11,Gujarat,Ahmedabad HQ,Ahmedabad City,23.06735766163826,72.58274215281304
212601,5,5,10,Uttar Pradesh,Kanpur,Fatehpur,25.92692938644247,80.79073442148825
151004,9,4,13,Punjab,Punjab West,Bhatinda,30.22128727438306,75.00654439418132
176302,4,13,17,Himachal Pradesh,,Chamba,32.421765556521706,76.04007929346398
682505,8,3,11,Kerala,Kochi,Ernakulam,10.043412763121088,76.22468904685184
682506,13,4,17,Kerala,Kochi,Ernakulam,9.89845105503506,76.32421320362282
176301,7,7,14,Himachal Pradesh,,Chamba,32.49209080210719,75.91200814997016
380028,11,8,19,Gujarat,Ahmedabad HQ,Ahmedabad City,22.9962815952721,72.58539460241875
151003,4,5,9,Punjab,Punjab West,Bhatinda,30.25947812793402,74.93796986827944
682503,12,9,21,Kerala,Kochi,Ernakulam,10.030317617859483,76.22778719801703
176304,13,7,20,Himachal Pradesh,,Chamba,32.54151311362167,76.0028628217037
151002,4,7,11,Punjab,Punjab West,Bhatinda,30.260793202950122,74.88286024749532
380026,9,9,18,Gujarat,Ahmedabad HQ,Ahmedabad City,22.99946117448715,72.63156932347498
176303,10,7,17,Himachal Pradesh,,Chamba,32.54392194136689,75.91650341120209
682504,7,8,15,Kerala,Kochi,Ernakulam,10.004656442231257,76.25414740142494
151001,11,17,28,Punjab,Punjab West,Bhatinda,30.20174330303645,74.93473754193721
682509,8,4,12,Kerala,Kochi,Ernakulam,10.06557406601496,76.21726110574211
416552,4,12,16,Maharashtra,Goa-Panaji,Kolhapur,15.884982905294397,74.24973192801006
682507,9,10,19,Kerala,Kochi,Ernakulam,9.927714665680428,76.25346436787673
682508,8,7,15,Kerala,Kochi,Ernakulam,9.992290310374996,76.2313657345625
416551,7,6,13,Maharashtra,Goa-Panaji,Kolhapur,16.216726422880416,74.44406252955913
394680,6,12,18,Gujarat,Vadodara,Bardoli,21.276961391626585,73.53728890906586
392020,9,7,16,Gujarat,Vadodara,Bharuch,21.79745926487059,72.93068448517076
392025,11,14,25,Gujarat,Vadodara,Bharuch,21.89365723132889,72.92873256189432
380012,9,4,13,Unknown,Unknown,Unknown,,
380013,8,10,18,Gujarat,Ahmedabad HQ,Ahmedabad City,23.059243020938354,72.5635119848095
380010,7,7,14,Unknown,Unknown,Unknown,,
380011,10,11,21,Unknown,Unknown,Unknown,,
682511,5,10,15,Kerala,Kochi,Ernakulam,10.019439686441485,76.22625477421728
380016,9,8,17,Gujarat,Ahmedabad HQ,Ahmedabad City,23.05093194626587,72.60891038710338
380014,13,7,20,Unknown,Unknown,Unknown,,
380015,12,10,22,Gujarat,Ahmedabad HQ,Ahmedabad City,23.021442474746767,72.52526181762111
394690,15,7,22,Gujarat,Vadodara,Bardoli,21.090371680963163,73.30023964527233
380018,12,9,21,Gujarat,Ahmedabad HQ,Ahmedabad City,23.030128283260886,72.6095098564315
380019,8,15,23,Gujarat,Ahmedabad HQ,Ahmedabad City,23.100779315033538,72.57586779384562
394650,14,11,25,Gujarat,Vadodara,Bardoli,21.123085427234543,73.41309838807196
670501,8,4,12,Kerala,Calicut,Cannanore,12.060204441721554,75.25874294585365
394651,14,4,18,Gujarat,Vadodara,Bardoli,21.206128649860972,73.38067630185044
394652,10,10,20,Gujarat,Vadodara,Bardoli,21.06963990067125,73.48114336416208
670504,9,5,14,Kerala,Calicut,Cannanore,12.089138667998615,75.26981577591893
670503,8,9,17,Kerala,Calicut,Cannanore,12.084414344998494,75.29777930363862
394655,15,10,25,Gujarat,Vadodara,Bardoli,21.019290662053447,73.46236770895692
670502,11,6,17,Kerala,Calicut,Cannanore,12.078076901586128,75.333607151376
380049,4,10,14,Gujarat,Ahmedabad HQ,Ahmedabad City,23.045678045004166,72.66905601109286
176324,12,8,20,Himachal Pradesh,,Chamba,32.51931402714608,76.43564727206143
403206,3,10,13,Maharashtra,Goa-Panaji,Goa,15.449511668165727,73.8380374062535
176323,7,7,14,Himachal Pradesh,,Chamba,33.02179451638101,76.53989966891206
176326,9,6,15,Himachal Pradesh,,Chamba,32.29197168591176,76.63898664268996
176325,10,6,16,Himachal Pradesh,,Chamba,32.62902295005895,75.92312563829086
176320,12,9,21,Himachal Pradesh,,Chamba,32.813160687345665,75.9413129052346
212620,8,5,13,Uttar Pradesh,Kanpur,Fatehpur,25.75695380111059,80.88698913263423
212621,9,8,17,Uttar Pradesh,Kanpur,Fatehpur,25.76804786999285,80.75384298439972
212622,10,9,19,Uttar Pradesh,Kanpur,Fatehpur,25.815120376470613,81.00701881371354
176321,9,7,16,Himachal Pradesh,,Chamba,32.752914755529034,76.25260554006084
394660,10,7,17,Gujarat,Vadodara,Bardoli,21.214059920229207,73.5866134020824
403201,4,10,14,Maharashtra,Goa-Panaji,Goa,15.472091081337114,73.87283751515497
392001,9,9,18,Gujarat,Vadodara,Bharuch,21.697095402948797,72.98437599358624
670511,4,16,20,Kerala,Calicut,Cannanore,12.26862299145839,75.39416326283573
403202,10,15,25,Maharashtra,Goa-Panaji,Goa,15.46260420454438,73.85854462309764
403203,6,9,15,Maharashtra,Goa-Panaji,Goa,15.441646035697667,73.89361393273568
403204,14,4,18,Maharashtra,Goa-Panaji,Goa,15.423924019151567,73.90206289301376
176317,11,11,22,Himachal Pradesh,,Chamba,32.728803720716314,76.08944790998781
176316,6,9,15,Himachal Pradesh,,Chamba,32.90715930728947,76.21703227691181
176319,12,5,17,Himachal Pradesh,,Chamba,32.68761275219481,76.14098081773356
176318,10,7,17,Himachal Pradesh,,Chamba,32.56930002580966,76.13003076281272
