order_value,item_quantity,identical_items,payment_method,failed_payment_attempts,order_hour,checkout_time_sec,address_mismatch,order_velocity,customer_tenure_days,order_risk_label
21296.64,7,3,1,1,7,63,1,1,1251,1
5488.07,10,1,0,4,12,238,0,6,875,0
18971.30,5,4,0,0,0,35,0,5,820,0
33667.42,3,0,0,2,5,262,0,2,31,0
30951.12,9,7,1,3,16,308,0,6,857,1
17651.46,8,4,0,0,8,123,1,5,855,0
5225.95,3,3,1,1,22,108,0,2,828,0
9626.17,1,1,0,4,1,101,0,8,840,0
20695.99,10,1,0,2,3,265,1,3,429,1
15829.03,4,2,1,3,0,482,1,1,518,0
19252.68,8,1,0,2,4,368,1,4,727,1
9375.34,2,2,0,4,15,235,0,1,701,0
36319.12,4,4,0,1,8,67,1,6,493,1
36460.50,5,0,0,4,23,386,1,2,524,1
14641.25,2,0,0,4,14,142,0,8,1017,0
17547.89,6,1,0,3,19,30,0,4,460,0
19721.43,5,1,0,2,3,432,0,7,1129,1
14295.43,2,2,0,1,7,109,1,7,1247,0
12193.02,7,2,1,4,20,127,0,3,536,1
37479.91,1,0,1,2,4,571,0,4,805,0
28209.60,8,7,1,4,5,308,1,8,197,1
22969.43,4,2,0,4,2,505,1,6,922,1
9774.39,2,2,1,0,5,172,0,4,374,0
1020.07,6,6,0,4,21,477,0,6,619,1
23000.66,10,0,1,3,15,42,1,5,195,1
39150.91,8,5,0,1,17,146,1,1,244,0
28878.35,3,0,1,1,3,92,0,8,696,1
26439.15,1,1,0,4,5,557,0,4,162,0
34730.40,3,3,1,0,21,580,1,4,27,1
19789.67,10,9,1,0,8,555,1,3,466,0
20720.01,7,3,0,4,14,105,0,3,325,1
5257.83,2,1,1,3,11,543,1,1,880,0
32047.92,2,0,1,4,22,348,1,4,969,1
5501.14,3,3,0,0,7,66,1,1,1341,0
941.06,9,5,1,0,23,59,0,1,1346,0
6819.20,5,3,1,1,22,556,1,6,1282,1
7801.46,5,3,0,1,5,291,1,4,1462,0
35299.04,1,0,1,3,20,238,0,2,1278,0
535.69,8,1,1,1,3,461,1,1,1093,1
15636.07,6,5,1,4,8,288,1,4,392,1
26802.24,8,4,1,4,15,183,0,1,163,1
3674.38,1,0,1,4,5,607,0,8,1188,0
32880.16,3,1,1,1,17,251,1,8,445,1
23794.29,9,7,0,0,11,369,1,4,833,0
20197.88,2,1,0,0,16,506,0,3,1184,0
3573.80,9,4,0,4,10,450,0,3,1168,0
14821.73,2,2,0,0,9,38,1,7,829,0
14968.45,9,0,0,3,4,265,1,4,174,1
10231.11,2,0,1,0,3,413,0,2,1029,0
39444.30,1,0,0,1,23,39,0,6,437,0
16354.43,3,1,1,1,11,478,1,7,941,0
37006.67,10,7,1,3,12,562,1,5,116,1
17358.01,3,2,1,1,14,196,1,6,1048,0
2598.99,3,1,0,0,14,121,1,7,1047,0
11799.71,4,1,1,2,16,366,0,8,524,0
8794.04,6,0,0,0,5,484,0,1,89,0
39154.41,1,1,0,1,3,236,1,8,151,1
8829.30,9,0,1,4,1,22,0,1,470,1
17698.69,3,0,1,2,3,563,0,2,793,0
6613.03,6,5,1,3,17,452,0,1,1237,1
12655.84,10,4,0,0,18,267,0,4,704,0
39038.82,2,0,1,3,12,117,1,2,104,1
25404.90,1,0,1,2,4,207,0,8,1324,1
17661.12,5,3,0,0,16,275,1,1,1429,0
27210.25,7,5,1,2,7,91,1,5,541,1
38651.81,10,5,0,4,3,568,0,6,302,1
16090.63,5,5,0,0,3,81,0,7,447,0
36367.69,3,3,1,1,11,62,1,4,298,0
13642.81,9,1,1,3,2,426,0,5,797,1
24341.43,5,3,1,2,8,156,0,2,1316,1
6414.65,2,0,1,1,9,130,0,4,754,0
2362.24,8,4,0,4,6,558,0,1,334,0
36457.15,7,5,0,2,5,65,1,4,147,0
828.94,9,1,1,1,14,345,0,5,943,0
2746.10,9,2,0,0,2,201,0,4,500,0
29314.02,6,4,1,2,22,462,1,8,605,1
37451.75,5,4,0,2,11,468,1,7,1404,1
37035.91,10,4,0,1,20,301,0,1,1220,0
17216.61,10,7,1,3,13,12,1,7,1470,1
25924.93,9,5,1,1,7,453,1,4,169,1
31092.12,3,3,1,0,11,202,0,1,809,0
22295.11,8,8,1,3,17,572,1,3,208,1
28918.41,1,1,0,4,3,505,1,3,1364,0
11193.48,3,0,1,0,16,37,1,8,1493,0
31923.71,7,0,0,4,14,136,0,3,1059,1
3287.43,6,2,0,3,22,64,0,4,1475,0
28438.72,3,2,0,4,14,212,0,8,196,0
9821.37,4,4,1,3,14,466,1,6,631,1
28585.70,6,1,0,4,13,125,1,3,109,0
34514.83,4,3,1,0,7,114,0,8,1087,1
14676.44,7,1,1,2,12,207,1,5,1441,1
21775.90,6,3,1,0,6,525,0,6,42,1
11654.78,8,1,1,2,1,484,1,8,358,1
15588.43,3,1,1,2,21,108,0,6,1432,0
32676.62,2,1,1,3,21,433,0,3,511,0
39573.73,2,0,1,4,5,110,0,3,1422,0
32904.72,1,1,0,4,13,157,1,2,339,0
25412.02,5,0,1,1,2,146,1,5,251,1
10367.34,2,2,0,3,9,520,0,4,1167,0
31032.66,8,6,1,0,20,301,1,5,1154,1
11631.85,3,3,0,4,13,220,1,8,901,0
24478.04,9,6,0,2,15,427,0,6,928,0
20916.32,4,3,1,4,5,397,0,4,388,1
35155.39,4,3,0,2,7,82,0,3,1378,0
35788.17,2,2,1,1,23,553,0,8,968,0
40158.55,10,3,0,1,21,333,1,6,120,1
35086.71,2,0,1,4,20,497,1,8,40,1
22320.61,4,0,0,3,8,167,1,3,333,0
29498.79,8,4,0,1,9,249,0,8,57,1
14483.17,8,4,0,3,11,495,0,8,1404,0
30661.20,5,2,1,2,7,144,0,6,104,0
33424.16,5,2,1,4,7,534,0,8,154,1
34012.58,2,1,1,4,19,331,0,3,968,0
4980.29,4,3,1,3,1,474,0,8,1436,1
14204.41,1,0,0,3,19,411,0,7,1375,0
37683.80,4,2,0,3,2,511,1,6,648,1
25267.08,3,0,0,0,14,75,1,3,451,0
4625.84,6,3,1,1,8,232,1,1,1001,0
38014.63,7,0,0,2,20,550,0,7,1440,0
4170.13,2,2,1,3,8,488,0,6,879,0
19197.75,1,0,0,4,3,229,0,5,1267,0
27728.18,5,1,1,0,11,138,1,7,137,1
4016.93,7,2,1,3,10,588,1,8,483,1
31336.61,8,1,1,2,10,431,0,6,1037,1
12842.97,5,4,1,0,11,92,0,4,821,1
36745.47,5,0,1,0,19,467,1,8,140,1
25642.70,6,4,0,0,18,539,0,8,233,1
10292.44,3,2,0,1,4,210,0,8,1490,0
17461.58,4,3,1,4,18,305,0,3,1124,0
2460.17,4,0,1,0,0,608,1,4,750,0
10412.37,3,1,0,1,14,268,1,8,280,0
29355.01,10,10,1,3,18,412,0,1,36,1
8141.03,9,3,1,2,0,261,1,6,431,1
37806.46,3,3,1,2,21,523,1,2,884,1
24516.33,10,8,1,4,16,360,1,8,1035,1
6585.15,6,0,1,1,20,146,0,5,798,0
17185.48,9,0,0,2,10,474,0,3,478,0
37177.59,4,0,1,0,9,347,1,5,1177,0
651.98,9,1,1,0,9,396,1,2,860,0
23541.30,4,2,1,3,14,346,0,3,51,1
10535.93,9,1,0,4,12,535,1,4,38,0
24329.41,8,1,0,3,3,14,1,6,11,1
4255.23,9,3,1,2,9,210,1,4,20,1
36865.59,9,3,0,1,21,238,1,4,1311,1
26612.83,10,5,0,3,15,482,1,4,1178,1
37283.91,2,2,1,2,2,58,1,8,1327,1
22879.42,8,2,1,4,11,402,1,8,318,1
28498.89,3,3,0,2,20,204,1,5,493,1
7460.97,9,7,1,2,11,177,0,3,633,0
6716.14,1,0,1,3,15,82,1,1,686,0
23086.47,6,2,1,1,18,179,0,1,464,0
29542.30,1,1,1,3,3,470,1,6,20,1
40267.30,1,0,0,3,11,338,1,4,134,0
5087.73,9,7,0,2,14,268,0,3,445,0
22741.73,9,2,1,4,19,515,1,6,1029,1
12810.75,2,2,0,1,23,408,1,1,719,0
37722.21,1,0,1,4,12,352,1,6,900,1
16438.83,1,0,0,0,20,96,1,5,1352,0
16992.01,9,6,0,1,6,41,0,2,1217,0
35626.85,10,7,1,1,23,344,0,6,1188,1
2281.55,4,1,1,2,2,423,1,6,826,0
5392.95,1,1,1,0,23,130,0,6,1026,0
38943.14,4,4,0,2,8,462,1,4,1476,0
1536.00,1,1,1,1,18,519,0,5,640,0
28335.21,9,4,1,2,22,405,0,5,1317,1
31214.61,9,0,0,0,20,109,1,7,231,1
17925.46,10,10,0,1,18,437,0,7,1109,0
23739.42,7,7,0,1,9,18,0,5,1103,1
12158.86,5,0,1,4,3,67,1,3,1058,0
741.88,2,2,0,4,9,388,0,4,867,0
8001.35,4,1,0,0,17,189,0,2,1306,0
2757.26,10,10,1,1,11,15,0,2,604,0
22074.18,10,8,0,0,21,584,0,7,183,1
35746.83,10,5,1,4,22,478,0,1,613,1
30295.42,4,0,1,0,6,109,0,4,294,0
18179.86,5,0,1,0,22,606,1,1,426,0
17197.36,8,5,1,0,22,562,1,4,152,0
29388.68,1,0,1,4,1,333,0,5,1437,1
3858.23,4,1,0,4,22,269,0,1,1023,0
6479.14,5,0,0,0,8,466,0,6,1130,0
31629.44,8,3,0,3,2,453,1,3,730,1
31040.18,10,4,1,1,14,517,0,3,497,1
14798.21,2,0,0,0,10,85,0,1,1039,0
38730.63,5,0,0,0,5,292,1,1,239,0
13272.50,9,3,1,2,22,543,1,1,1214,1
9764.14,3,0,0,3,19,274,0,1,564,0
5624.17,8,3,0,0,1,384,1,6,1408,1
12471.54,9,5,1,0,20,299,1,8,1208,1
22387.13,6,2,0,2,22,290,0,2,572,0
669.44,5,4,0,2,13,427,0,6,281,0
29099.79,9,0,0,1,15,319,0,1,668,0
25492.02,3,0,1,3,21,550,1,1,337,1
25984.57,3,2,1,2,20,197,1,1,1394,1
11410.23,1,1,0,0,15,372,0,2,649,0
24163.50,4,0,0,3,12,79,1,5,1406,0
7953.37,9,2,0,1,19,545,0,5,1138,0
5130.74,3,3,0,4,22,363,0,8,846,0
39697.04,10,3,0,1,17,483,0,8,422,1
9878.29,2,0,0,0,22,214,1,5,140,0
21677.80,6,4,1,1,11,487,1,6,578,1
18772.78,4,0,1,0,19,87,1,1,702,0
7604.07,3,3,1,3,0,79,0,2,1244,1
393.73,3,3,1,4,2,85,1,2,884,0
7983.29,10,3,1,0,6,381,0,3,393,0
36932.31,1,1,1,4,18,547,1,6,1211,1
23943.79,1,1,0,4,6,387,0,7,1297,0
23900.02,4,1,0,2,20,306,0,7,1195,0
39884.70,9,5,1,1,18,235,1,3,978,1
20036.73,2,1,0,1,13,594,0,2,220,0
9771.02,9,3,1,1,18,41,0,8,146,0
17472.29,9,0,1,0,7,248,0,2,408,0
25752.58,9,5,0,3,20,587,0,2,606,1
31025.93,1,0,1,0,19,501,0,2,717,0
15830.38,1,1,1,3,0,484,1,1,507,0
15503.51,3,0,1,1,18,522,1,7,125,0
5955.69,6,2,0,1,15,492,0,3,56,0
2867.16,7,5,1,3,22,408,1,7,1029,1
6520.57,4,3,1,2,5,301,1,2,385,0
12639.90,3,2,0,4,2,270,0,1,358,0
35258.09,1,1,1,1,12,399,0,5,749,0
27733.76,8,2,1,0,1,166,0,4,1469,0
18357.32,2,1,1,4,12,186,1,3,631,0
24574.92,4,4,1,4,11,340,0,8,1474,1
6611.93,4,4,1,4,6,53,0,6,879,1
39502.86,9,1,0,4,6,63,0,4,52,0
24493.14,9,3,0,1,13,188,1,1,598,1
7391.60,4,4,1,4,5,401,1,4,1497,1
2019.98,4,1,0,0,6,33,1,8,978,0
31579.97,5,4,0,4,14,232,1,1,552,0
29892.29,10,9,1,1,20,216,1,5,471,1
778.41,5,0,1,4,4,159,0,1,102,1
12254.47,5,4,0,4,13,593,1,4,1491,0
15482.84,4,2,1,1,6,75,1,2,688,0
37804.76,7,7,1,1,11,459,0,1,582,1
17483.27,3,2,1,1,7,120,1,1,354,0
2875.85,3,3,1,1,6,282,1,2,411,1
15190.06,7,3,0,4,1,154,0,1,1283,0
23071.57,7,2,1,4,1,172,1,8,1317,1
1224.69,8,5,0,4,18,142,1,7,724,1
32040.83,5,3,1,1,3,416,0,7,1212,1
24633.25,6,2,0,0,4,530,0,2,808,0
36674.69,7,0,0,4,1,347,1,7,1426,1
33034.92,6,1,1,2,12,576,1,5,1415,0
5380.46,6,5,0,1,2,297,1,8,405,1
2142.70,4,3,1,2,22,48,0,5,354,0
35563.86,2,2,0,0,18,95,0,3,1475,0
21259.37,3,2,0,1,0,250,0,5,706,0
13708.17,2,1,0,3,13,276,0,1,959,0
3595.59,10,5,1,4,1,105,0,2,1161,1
34443.72,1,0,1,1,16,140,1,4,345,1
4794.99,6,2,0,0,13,303,0,4,791,0
38737.89,7,3,1,0,19,559,0,4,942,1
9636.37,6,6,0,3,23,56,1,1,618,1
35970.59,9,1,0,3,19,170,0,8,1454,1
4479.25,9,4,0,2,16,491,0,4,1310,0
38571.05,5,0,1,3,11,90,1,5,352,1
34256.15,4,1,0,3,12,68,1,8,372,1
10267.58,1,0,1,0,2,408,0,4,1131,0
10207.72,9,5,0,3,16,219,0,4,232,0
9165.82,4,1,1,1,23,314,0,7,132,0
13365.24,4,4,1,2,4,403,0,4,556,0
26630.69,8,6,0,3,5,30,1,4,1033,1
35947.26,8,7,0,3,9,299,1,8,836,1
20475.41,4,0,1,2,3,111,1,5,1121,1
10312.74,3,1,0,3,15,607,0,8,1394,0
20003.08,10,5,0,1,14,400,0,8,291,1
10659.49,10,10,0,3,0,419,0,4,9,0
20620.52,5,0,0,2,2,416,1,8,250,1
5872.35,5,4,1,1,17,414,1,8,1363,1
4913.41,7,3,0,4,10,604,0,8,71,0
39168.07,4,2,0,2,0,171,0,3,1073,0
5920.63,5,2,0,3,22,59,1,5,1243,1
20065.40,3,3,0,0,4,513,1,7,1352,1
2290.34,9,0,1,4,13,310,1,4,644,0
35052.51,8,3,1,0,2,590,1,5,1456,1
2643.11,10,8,1,1,0,294,0,2,719,0
14718.03,6,5,0,4,12,126,1,7,1256,1
36248.55,5,3,0,1,3,488,1,6,186,1
40011.96,8,6,1,4,23,566,0,7,727,1
35729.81,2,2,1,1,20,601,0,7,491,1
15999.16,10,8,1,0,5,498,1,5,1316,1
10152.23,8,5,0,2,6,364,0,1,664,0
30772.39,1,1,0,1,20,445,1,8,1453,0
12464.91,6,5,0,3,2,428,1,1,1426,1
24438.57,5,0,0,4,6,466,0,7,33,1
25627.20,1,0,0,3,3,230,0,4,451,0
5561.65,6,3,1,1,21,123,0,3,196,0
20864.35,8,8,1,3,12,314,1,5,905,1
27728.72,9,1,0,4,12,29,0,7,454,1
27824.02,10,5,1,1,18,283,0,8,776,1
410.12,10,3,1,2,22,467,0,7,362,0
25713.48,3,2,0,1,9,544,1,7,461,0
36157.32,3,0,0,1,18,372,1,7,1297,0
13681.14,6,5,1,2,20,568,1,4,11,1
39646.82,10,5,1,0,1,434,0,6,100,1
921.51,10,10,0,3,19,138,0,4,496,0
31061.32,4,3,0,1,7,147,1,3,618,0
34144.76,8,6,0,0,5,501,0,6,773,0
34558.30,4,2,0,3,11,250,1,3,345,0
15935.70,9,0,0,3,22,283,1,7,79,1
33686.47,2,2,0,4,8,369,1,7,422,1
14500.71,8,5,1,1,11,560,0,2,649,0
30161.01,5,2,0,1,20,372,1,3,1256,1
471.64,9,3,1,4,17,302,0,3,700,0
6223.19,10,9,0,1,2,579,0,7,289,1
31438.96,8,3,0,0,10,223,1,6,412,1
21155.65,10,7,1,2,16,457,0,6,646,0
36234.81,5,0,0,0,5,34,1,1,1295,0
40127.30,8,0,0,1,3,146,1,2,1056,1
6072.31,9,3,1,2,21,302,1,6,1090,1
32704.18,1,1,1,4,14,54,1,6,229,0
20676.23,3,3,1,1,22,243,1,3,268,1
4170.52,2,1,0,3,20,562,1,7,343,0
22103.04,8,0,1,1,6,577,0,4,479,0
28972.85,4,1,1,3,4,431,1,3,910,1
33807.13,1,0,0,1,9,27,0,6,906,0
16295.29,4,1,0,0,15,57,1,4,190,0
6014.52,2,1,1,3,9,438,0,5,770,0
25566.41,7,4,1,0,15,470,0,7,126,1
11273.47,8,2,0,4,11,496,1,3,171,0
31904.29,8,2,1,1,9,404,1,2,1470,1
3647.64,9,7,1,2,16,179,0,3,1390,0
21251.92,2,1,1,3,16,588,0,4,539,1
13919.84,4,0,1,0,8,183,0,3,156,0
14942.61,9,6,1,4,5,123,1,2,482,1
16923.84,3,0,1,3,8,450,1,3,1400,0
21140.96,5,0,0,3,20,157,0,5,1318,1
11431.71,2,2,0,1,12,81,0,6,477,0
35550.96,6,5,0,2,7,332,0,1,622,0
2618.10,4,2,1,4,17,519,0,7,23,1
2567.94,5,3,1,3,17,562,1,6,463,1
6821.18,8,0,0,3,3,30,0,2,343,0
23653.19,7,3,0,2,3,145,0,7,464,1
33589.53,2,2,0,1,6,24,1,3,823,1
22753.47,2,2,0,3,17,26,1,8,135,1
17109.61,5,4,0,0,13,44,0,6,780,0
17853.78,3,2,0,2,14,420,0,8,1064,0
2070.47,9,4,0,0,13,24,0,4,903,0
15492.47,3,0,0,2,2,240,0,2,742,0
2861.66,9,2,0,2,9,199,0,2,1465,0
39558.12,1,0,1,0,2,133,0,2,1259,0
30414.65,5,3,0,4,11,490,1,1,1320,1
36038.25,9,4,1,1,4,380,1,6,730,1
21481.05,4,3,0,4,8,206,1,8,236,1
11021.06,1,0,0,3,6,16,1,2,326,0
19720.97,4,0,1,0,16,501,0,8,367,0
6518.19,4,3,0,3,16,221,0,1,1088,0
14682.01,4,0,0,3,5,303,0,5,24,0
10882.53,1,1,0,0,9,363,1,6,871,0
5312.02,4,1,1,4,23,351,0,6,413,0
7768.22,8,1,1,0,20,360,0,4,394,0
22645.87,1,0,1,3,4,326,1,2,799,1
22712.44,4,2,0,0,23,223,0,4,70,0
18464.69,10,1,0,4,18,388,1,6,1164,0
8058.60,3,1,0,1,1,511,1,5,968,1
21592.44,1,1,0,2,23,468,1,8,1019,0
20436.78,4,4,0,0,17,295,0,5,444,0
25845.79,7,6,0,2,11,94,0,1,799,0
33067.68,5,1,1,4,10,215,1,8,380,1
996.72,4,2,0,0,20,155,1,6,2,1
4338.40,5,5,1,1,5,256,0,5,1023,0
5391.45,10,2,1,0,16,146,1,3,1072,0
34624.79,3,0,1,0,14,94,0,3,341,1
16903.11,9,3,0,3,4,183,0,2,625,1
10197.19,3,2,0,0,10,326,1,5,642,0
26825.47,8,3,1,1,21,573,0,6,67,1
36584.24,10,6,0,0,2,548,0,7,1494,1
3271.61,10,5,1,3,16,181,0,4,358,1
14446.25,8,3,1,0,19,86,1,1,1235,0
3445.03,3,3,0,2,20,177,1,1,353,0
32835.56,6,6,1,1,19,238,0,4,569,1
22747.21,5,3,0,2,15,137,1,6,1151,1
6731.05,1,0,1,1,6,213,1,7,804,0
13441.87,3,3,1,2,14,371,1,3,895,1
7465.19,8,7,0,2,13,121,1,4,857,1
9438.03,10,8,1,2,22,520,0,5,630,1
16428.17,10,5,1,2,4,541,1,4,1084,0
5044.09,3,0,0,0,14,49,0,8,1123,0
13592.92,4,4,0,4,3,477,1,8,962,0
32744.94,3,0,0,3,2,126,0,4,398,0
38344.66,3,0,1,1,4,276,0,1,1137,1
8167.13,8,2,0,4,10,509,1,6,156,0
21492.71,5,1,0,2,19,137,1,8,769,1
26876.74,7,1,0,2,21,257,0,3,246,1
8108.95,9,4,1,3,10,206,0,8,933,1
38015.34,3,2,1,4,11,225,1,1,30,1
2661.68,3,2,1,3,8,434,1,5,481,0
876.97,9,8,1,2,10,225,0,5,227,1
25809.16,10,8,1,1,8,51,0,6,252,1
16836.48,4,3,1,1,19,83,1,5,795,1
8146.99,5,3,0,1,9,147,0,6,890,0
19558.76,1,1,1,3,18,585,0,5,354,0
24059.12,1,1,0,3,15,331,1,3,739,1
6152.87,9,2,1,4,17,597,1,4,1097,0
40269.88,1,1,0,0,18,190,0,5,1076,0
8059.07,2,2,1,0,23,493,1,4,1057,0
13113.23,3,2,0,1,10,463,0,3,221,0
21584.80,7,5,1,3,14,53,0,5,64,1
20860.99,5,2,0,1,17,111,1,6,873,0
35155.56,2,1,1,3,0,527,0,2,1335,0
13260.71,8,0,0,3,14,533,0,6,353,1
5769.67,10,6,1,1,9,546,0,8,902,0
32191.49,4,2,0,1,9,118,1,4,926,0
23037.55,8,2,1,4,11,78,0,1,734,1
16742.33,9,0,0,4,16,334,0,5,28,0
18425.01,3,3,1,1,0,383,1,2,1399,0
36336.44,2,0,0,4,2,475,1,6,87,0
6167.03,1,0,1,3,16,278,0,1,640,0
25705.84,3,0,1,4,7,171,1,3,947,0
19824.28,7,6,1,1,8,223,1,2,594,0
29427.28,10,7,0,4,12,49,1,3,871,1
12279.97,4,4,1,3,4,70,0,4,110,0
12131.27,4,0,0,3,8,281,0,6,422,0
32814.89,3,1,1,2,22,146,1,8,1474,1
37298.91,4,4,1,4,6,134,1,4,1262,1
32178.12,6,2,1,2,4,100,1,8,1090,1
31759.79,7,2,1,3,15,61,1,7,300,1
39982.84,10,7,0,2,4,374,1,3,569,0
30562.33,6,3,0,4,1,453,0,3,852,1
8553.90,10,6,1,2,1,506,1,1,1252,0
38970.95,6,2,0,3,20,554,1,8,1331,1
17259.03,1,0,0,0,6,407,1,4,939,0
13425.24,5,0,1,3,15,83,0,6,803,0
29391.50,2,0,1,1,17,316,1,2,179,0
36742.33,6,2,0,2,17,458,0,5,1100,0
4451.37,2,1,0,2,0,92,1,2,283,0
7752.41,7,2,0,0,7,275,0,7,852,0
11201.07,5,5,1,0,4,225,1,2,966,1
29943.61,3,3,1,0,20,311,0,5,1091,0
32078.78,7,2,0,0,10,34,0,6,1180,0
40189.78,8,8,1,2,5,588,1,7,1058,1
23553.41,5,5,0,3,20,398,1,8,678,1
9342.25,3,2,1,4,17,56,0,3,1126,0
9812.66,3,3,1,2,23,199,0,7,135,0
16310.88,5,0,0,0,1,161,1,4,725,0
6585.49,4,2,1,0,16,557,1,1,786,0
5882.38,1,1,1,4,10,34,0,8,754,0
36523.15,6,1,0,2,12,133,0,7,1196,0
18998.96,8,5,1,4,14,603,0,5,310,0
11820.52,4,0,1,2,23,384,1,5,629,0
10359.00,2,1,1,0,2,14,1,5,1310,0
16053.37,4,1,1,4,14,160,0,5,1051,0
39290.12,5,2,0,1,12,23,1,7,610,0
7575.81,7,5,0,2,5,355,1,6,690,1
28739.16,9,1,1,3,16,380,0,7,686,1
7787.10,9,4,1,3,16,604,1,2,429,1
30619.14,10,4,0,0,22,207,0,6,1415,1
26596.33,7,2,0,1,23,498,0,6,981,0
2860.97,6,5,1,0,17,393,1,5,626,1
1355.42,1,0,1,3,16,43,1,7,49,1
2172.29,7,5,1,0,19,132,0,2,122,0
39590.00,2,0,1,1,22,321,1,6,793,0
25604.24,10,1,0,0,22,288,0,7,1204,1
27310.92,2,2,0,2,5,267,0,6,594,0
24664.55,9,6,1,3,1,413,0,5,1312,1
26940.89,4,1,0,1,11,584,0,5,1395,0
21369.71,4,3,1,1,18,46,0,6,504,0
22207.94,9,5,0,1,14,416,1,3,531,1
9624.13,9,8,1,4,18,103,1,2,718,1
37441.88,10,6,1,3,20,557,1,8,615,1
25957.86,1,1,1,2,8,209,0,6,948,0
13533.94,10,1,0,3,2,526,0,6,1103,1
9073.02,3,0,1,3,16,19,0,3,124,0
26306.13,2,1,0,0,12,492,1,4,701,0
8914.31,7,3,0,4,15,241,1,6,257,1
36520.48,10,0,1,0,2,296,0,4,386,1
29827.91,7,2,1,4,13,508,1,2,499,1
34298.06,6,5,1,1,11,524,0,3,341,1
31284.56,10,7,1,1,9,605,1,7,1403,1
23991.41,4,0,1,0,19,106,1,5,355,1
8540.86,8,0,0,1,13,131,0,5,1315,0
7062.69,3,1,0,4,5,383,0,3,1500,0
10315.10,10,8,1,4,12,301,1,8,791,1
37503.82,8,1,1,2,11,554,1,8,765,1
495.76,2,0,0,0,10,483,0,1,1011,0
14675.22,4,1,0,3,8,234,1,4,492,0
