device_age_days,device_type,accounts_per_device,emulator_detected,rooted_or_jailbroken,vpn_used,ip_changes_24h,geo_distance_km,login_frequency,failed_login_attempts,device_risk_label
1084,2,0,0,0,0,4,1472,20,4,0
761,1,2,0,0,1,5,658,48,0,1
117,1,1,0,0,0,0,1488,30,1,0
1266,2,1,0,0,0,8,1183,21,5,0
168,0,5,0,0,1,3,2915,17,2,0
1265,1,4,1,1,0,7,461,40,1,0
541,2,5,0,0,1,1,2992,44,1,0
34,0,0,0,0,0,4,2763,1,6,0
505,2,5,0,0,1,9,26,29,4,0
220,1,2,0,0,0,8,640,9,6,0
499,1,0,0,1,1,7,365,31,4,0
498,1,4,0,0,1,5,301,26,0,0
620,2,2,0,0,0,6,68,12,0,0
1261,1,4,0,1,0,9,608,33,4,1
43,2,1,0,0,0,9,2131,7,2,0
80,0,3,0,0,0,8,583,46,7,1
74,0,4,0,0,0,4,1993,30,7,0
1017,0,1,0,0,1,0,2976,15,0,0
512,1,0,0,0,0,6,2607,6,6,0
162,2,0,0,0,0,1,2201,18,4,0
1319,0,3,1,0,0,9,2721,20,4,1
530,0,5,0,0,0,0,2245,21,0,0
812,1,5,0,0,0,7,2785,10,2,0
1086,1,5,0,0,0,1,1282,34,2,0
12,0,5,0,0,0,9,2833,47,4,1
167,2,1,0,0,0,3,1829,30,5,0
1471,0,0,0,0,1,1,412,41,0,0
79,1,4,0,0,0,5,2176,1,7,1
1424,1,4,0,0,0,5,1378,19,4,1
414,1,0,0,1,0,4,2634,4,7,0
777,2,4,0,1,0,2,2830,28,1,1
279,0,0,0,0,1,6,75,10,5,0
1223,2,4,0,0,1,6,2400,1,4,1
41,1,1,0,0,1,6,2394,30,1,1
196,1,2,0,0,1,0,323,18,6,0
1365,2,1,0,0,1,6,1709,41,6,1
1066,0,1,0,1,0,8,2710,24,3,1
762,2,0,0,0,1,5,1817,14,3,0
365,1,0,0,0,0,8,1352,9,2,0
801,0,5,0,0,1,7,2306,45,3,1
974,1,4,0,0,1,6,2359,40,6,1
823,2,4,0,0,0,4,2134,31,3,0
47,2,5,0,0,1,4,2871,50,0,0
921,0,4,1,0,0,9,545,28,2,1
45,1,1,0,0,0,8,955,34,7,0
135,2,2,0,0,0,5,2092,44,6,1
970,1,3,0,0,0,9,1899,41,7,1
119,0,3,0,0,0,6,2965,18,4,1
1140,1,1,0,0,0,9,2522,11,0,0
776,2,2,0,0,0,8,1946,24,0,0
322,1,3,0,0,0,8,108,22,3,0
781,1,5,0,0,0,2,710,17,4,0
594,1,2,0,1,0,6,2079,40,4,1
1221,0,1,0,0,0,5,816,29,2,0
100,1,3,0,0,0,7,2664,24,2,0
1090,0,5,0,0,1,2,1564,36,0,0
1244,1,3,0,0,0,6,389,20,1,0
992,0,0,0,0,1,7,2489,29,2,0
739,2,5,0,0,1,2,1669,1,4,1
437,0,5,0,0,0,2,528,13,6,1
703,0,2,1,0,0,9,994,34,0,0
888,2,0,0,0,1,7,669,6,7,0
279,2,2,0,0,0,1,360,34,7,0
904,2,3,0,0,0,4,2114,32,5,1
75,0,4,0,0,0,3,923,21,4,0
1112,0,1,0,0,0,9,475,16,1,0
981,2,2,0,0,0,1,345,35,0,0
463,0,1,0,0,0,7,1437,28,3,0
1000,0,0,0,0,1,0,817,24,3,0
993,0,5,0,0,0,8,310,31,4,0
1411,1,2,0,0,0,9,1012,50,5,0
802,1,2,0,0,0,9,843,19,3,0
1381,2,3,0,0,0,2,1182,4,4,0
834,1,2,0,0,0,2,1202,45,6,0
105,0,3,0,0,0,1,1687,33,3,0
57,0,0,0,1,0,0,1619,36,6,1
606,1,3,0,0,0,0,2514,39,7,1
699,2,3,0,0,1,1,2587,38,5,1
152,2,1,0,0,0,1,1127,3,4,0
678,2,1,0,0,0,7,2876,15,3,0
79,0,1,0,0,0,4,1256,6,2,0
1372,2,0,0,0,0,8,1089,34,6,1
563,2,4,0,1,0,9,2366,7,4,1
1271,2,5,0,0,1,9,2915,10,4,1
45,1,4,0,0,1,4,2642,25,0,1
1202,1,2,0,1,0,8,522,35,5,0
785,1,1,0,0,0,5,2090,46,1,0
1134,0,3,0,0,0,1,1178,8,6,0
169,2,2,0,0,0,4,1853,18,5,0
1207,1,5,0,0,0,9,1858,44,5,1
762,1,3,0,0,1,1,567,3,1,0
1211,2,5,0,0,0,3,827,44,4,0
998,2,1,0,0,0,5,1965,31,3,0
70,2,5,1,0,0,5,2374,15,7,1
1203,0,1,0,0,0,2,1189,12,7,0
1313,0,3,0,0,0,6,2166,41,3,0
859,2,0,0,0,0,5,271,9,0,0
1221,0,3,0,0,0,1,1474,27,1,0
66,1,5,0,0,0,2,812,10,7,1
136,1,0,0,0,0,6,1971,31,5,0
560,0,5,0,0,0,5,1194,5,6,1
1465,2,5,0,0,0,1,95,40,1,0
276,1,0,0,0,0,7,2074,40,1,0
303,2,3,0,1,0,6,1618,44,4,1
393,1,3,0,0,0,5,2304,35,5,0
736,0,2,0,0,0,6,2641,44,4,1
213,0,3,0,0,0,4,2927,44,4,0
1131,1,3,0,0,0,3,1007,45,1,0
701,2,2,0,0,0,2,548,30,6,0
1024,1,5,0,0,1,6,1033,38,0,1
1203,1,3,0,0,1,8,2372,2,6,1
164,0,1,0,0,1,4,2994,6,5,0
919,0,1,0,0,0,7,1738,13,5,0
953,2,1,0,0,0,4,2456,15,4,0
44,1,0,0,0,1,5,182,44,6,1
1387,0,0,0,0,0,0,2757,20,7,0
241,2,1,0,1,0,4,349,12,7,0
562,0,1,0,0,0,2,891,4,6,0
1208,2,4,0,0,0,5,832,1,3,0
630,2,0,0,0,0,0,2532,40,7,0
392,1,4,1,1,0,6,1963,28,2,1
39,0,0,0,0,0,3,2087,28,3,0
230,2,3,0,0,0,8,2123,50,3,0
1105,2,3,0,0,0,5,1245,3,5,1
283,1,0,0,0,0,7,2143,24,3,0
905,0,5,0,0,0,3,2700,13,3,0
932,2,4,0,0,0,0,2381,2,1,0
88,0,4,0,0,1,8,2221,29,6,1
615,0,0,1,0,0,0,1543,14,4,0
1500,0,5,0,0,1,2,1374,26,5,1
991,1,4,0,0,0,5,2269,8,5,1
675,0,0,0,0,0,2,1606,40,3,0
1111,2,4,0,0,0,7,972,26,2,0
1205,0,1,0,0,0,4,2622,31,3,0
1183,2,3,0,0,0,2,859,10,2,0
599,1,2,0,0,1,1,2185,8,4,1
1078,1,1,0,1,1,8,1637,46,4,1
412,2,5,0,0,0,4,144,12,0,0
1467,1,3,1,0,0,5,476,1,2,0
337,2,2,0,0,0,2,2845,16,0,0
1106,1,0,0,1,1,1,93,11,1,0
1101,1,4,0,0,0,8,183,42,4,0
1175,2,4,0,0,0,9,2770,27,5,1
518,2,1,0,0,0,3,948,2,2,0
994,0,5,0,0,0,5,2191,24,0,0
1364,1,0,0,0,0,5,324,42,4,0
867,2,0,1,0,0,5,2903,35,0,1
601,0,5,0,0,0,0,678,48,6,1
97,2,3,0,0,1,7,2176,15,4,0
229,1,3,0,0,0,0,366,33,5,0
309,2,2,1,0,0,9,2053,11,1,1
76,2,1,0,0,0,5,2416,24,0,0
364,2,3,0,0,0,2,1768,36,2,0
772,0,4,0,0,0,5,1216,15,2,0
587,1,3,0,0,0,9,1339,45,1,1
733,1,0,0,0,0,2,1617,14,4,0
366,1,5,0,0,0,6,310,22,2,0
621,1,4,0,0,1,3,2808,4,5,1
364,1,1,0,0,0,4,2138,13,0,0
1004,2,0,0,0,0,2,1497,41,5,0
265,2,2,0,0,0,8,2186,13,7,0
953,1,5,0,0,1,4,1666,40,3,1
1432,1,4,0,0,0,1,760,7,0,0
209,2,1,1,1,1,7,702,38,3,1
56,1,5,0,0,0,7,995,46,6,1
433,0,1,0,0,0,1,639,10,0,0
394,1,2,1,0,0,5,2654,42,7,1
1192,1,3,0,0,0,0,2235,50,4,1
1182,0,1,0,0,1,8,1033,35,0,0
592,0,1,0,0,0,2,469,1,7,0
1235,2,3,0,0,0,7,2766,25,2,0
1224,0,5,0,0,0,8,2793,5,7,1
1425,2,4,0,0,0,6,2834,11,7,0
1006,0,0,0,0,0,7,2749,9,5,0
705,2,0,0,0,0,7,1076,25,3,0
890,0,4,0,0,0,7,2210,11,5,1
238,1,5,0,0,0,3,2657,18,6,0
1266,0,0,0,0,0,0,646,29,0,0
1150,1,3,0,0,0,5,2695,5,4,1
1145,1,1,0,0,0,3,1314,21,4,0
1378,1,2,0,0,1,9,1878,32,0,0
427,0,3,0,0,0,1,1078,14,0,0
727,1,5,0,0,1,5,960,48,7,1
547,2,2,0,0,1,1,2429,15,3,0
871,1,4,0,0,0,9,1667,6,2,0
888,2,5,0,0,0,0,1991,36,4,1
279,1,4,0,0,1,3,1451,30,4,1
1081,0,5,0,0,0,8,1539,47,1,0
405,1,5,0,1,0,4,2963,5,6,1
812,0,0,1,0,1,0,1677,22,3,0
1256,1,0,0,0,0,7,1395,13,5,1
1084,1,2,0,0,1,3,2515,24,3,0
1397,0,2,0,0,0,3,2859,21,1,0
1257,1,2,0,1,0,3,920,41,2,0
1074,0,4,0,0,0,1,2612,24,6,0
977,0,2,1,0,0,0,682,49,6,0
781,2,5,1,0,0,5,2873,6,5,1
364,1,4,0,0,1,9,1410,27,2,1
643,2,0,0,0,0,0,370,49,2,0
332,2,4,0,0,0,5,2363,27,1,0
1313,1,0,0,0,0,8,291,39,2,0
1098,0,4,0,1,1,3,2739,6,7,1
1487,2,3,0,0,0,1,2208,31,5,0
503,0,5,1,0,0,0,168,4,2,0
1218,2,5,0,0,1,5,1803,1,7,1
351,2,5,0,1,0,9,2259,43,5,1
984,2,5,0,0,0,9,2253,33,5,1
275,1,2,0,0,1,7,1125,50,0,0
292,2,2,0,0,0,7,1544,20,2,0
831,0,0,0,1,0,0,849,46,7,0
22,2,2,0,0,0,7,566,37,4,1
1176,1,0,0,0,0,3,2892,7,1,0
416,2,0,0,0,0,1,282,11,6,0
198,2,4,0,0,0,9,1198,50,1,0
388,0,0,0,1,0,0,315,21,7,0
30,2,5,0,0,0,1,923,33,3,1
1363,1,3,0,0,0,5,1993,36,1,0
393,0,0,1,0,0,1,1372,45,1,0
588,0,5,0,0,1,5,2051,33,0,1
454,0,3,0,1,0,4,369,38,1,1
335,1,1,0,0,0,9,2226,27,2,0
131,0,5,0,0,0,4,1649,43,7,1
349,2,5,0,0,0,4,2798,14,7,1
839,0,4,0,0,0,7,1025,19,5,1
1234,2,0,0,1,1,1,1180,47,6,1
1067,2,3,0,0,0,4,840,28,2,0
816,1,5,0,0,0,6,1436,3,4,1
678,2,0,0,0,0,4,180,50,6,0
326,1,4,0,0,0,2,2965,26,6,0
357,0,5,0,0,0,6,2563,15,5,0
1314,0,2,0,0,0,9,963,27,2,0
15,2,2,0,0,0,6,2088,6,0,0
249,2,1,0,0,1,9,2696,10,1,0
1317,0,2,0,0,0,2,2109,46,3,0
810,2,3,0,0,1,3,105,34,3,1
131,0,4,0,0,1,2,1031,45,1,1
203,2,5,0,0,0,0,37,18,3,0
1012,0,4,0,0,0,1,1606,39,3,0
145,2,1,0,1,0,1,810,47,5,0
99,2,1,1,0,0,4,1830,29,7,1
405,0,4,0,0,0,0,2435,37,0,0
434,2,5,0,0,0,4,2967,21,2,0
1334,1,5,0,0,1,8,1690,29,4,1
416,2,5,1,0,1,3,2787,12,3,1
1493,1,3,0,0,0,8,1000,43,0,0
644,2,1,0,0,0,9,1304,44,3,0
39,1,1,0,0,0,9,332,30,0,0
755,0,0,0,0,0,2,748,29,6,0
541,0,0,0,0,0,9,1341,21,3,0
1249,0,2,0,0,1,4,1127,19,7,0
719,2,4,0,0,0,0,913,6,5,0
1168,1,3,0,0,1,8,1728,43,5,1
508,0,0,1,0,1,1,1323,4,3,1
1234,2,0,0,0,1,7,2992,8,4,0
1314,2,5,0,0,0,7,1811,4,4,1
193,2,3,0,0,1,5,487,2,1,1
107,2,4,0,0,0,6,2860,38,1,1
1192,1,1,1,0,0,2,2496,18,7,1
102,2,4,0,0,0,8,516,50,2,1
1482,0,3,0,0,0,3,152,15,4,0
310,2,5,0,0,0,4,2682,29,4,0
1402,2,1,1,1,0,0,2961,49,1,1
1274,1,2,0,0,0,9,1035,15,5,0
755,1,1,0,0,0,4,2581,27,1,0
837,2,1,0,0,0,8,1493,48,0,0
112,2,1,0,0,0,8,2154,48,6,1
83,1,0,0,0,0,7,1283,38,1,0
1295,0,3,0,0,0,8,2235,1,4,1
538,2,0,0,0,0,0,2742,33,4,1
1013,0,0,1,0,1,5,2646,22,1,1
308,0,2,0,1,1,5,1887,36,4,1
69,1,3,0,0,1,9,187,29,3,0
1009,2,4,0,0,0,1,2637,41,5,0
831,0,5,0,0,0,5,2207,1,3,0
774,0,5,0,0,0,1,2985,7,1,0
1179,2,0,0,0,0,9,2877,9,1,0
379,0,5,1,0,0,7,105,24,3,1
1387,1,2,0,1,0,8,479,20,3,0
887,2,0,0,0,0,4,178,20,0,0
266,1,3,0,0,0,3,17,33,5,0
259,2,1,0,0,0,8,577,4,3,0
756,0,1,0,0,1,2,1632,13,5,0
530,0,3,0,0,0,6,121,7,4,1
425,1,2,0,0,0,2,2841,5,1,0
961,1,3,0,0,0,9,737,40,7,1
537,0,0,0,0,1,4,553,22,3,0
838,2,1,0,0,0,7,2367,5,6,1
1213,1,2,0,1,0,8,833,46,5,0
636,2,2,0,0,0,3,1179,42,4,0
1287,2,5,0,0,0,7,1430,43,2,0
36,0,5,0,1,1,8,2042,16,0,1
769,1,1,0,0,0,8,2148,39,2,0
198,1,1,0,0,1,9,373,19,6,0
449,2,5,1,1,1,5,222,7,6,1
329,2,1,0,0,1,3,2628,41,1,0
1326,1,4,0,0,0,5,134,10,6,1
943,2,2,0,1,1,3,1075,19,2,0
821,0,5,0,0,0,9,2371,15,4,0
1382,1,3,0,0,0,5,2882,50,6,1
658,1,2,0,0,0,1,34,7,2,0
1271,0,4,0,0,0,7,1031,27,7,0
691,0,5,0,0,0,2,544,31,6,0
403,1,5,0,0,0,6,589,41,3,1
437,0,3,0,0,0,3,1015,48,3,0
792,2,5,0,0,0,2,2322,2,5,0
857,1,3,0,0,0,3,902,29,7,1
263,0,4,0,0,0,3,2691,16,7,1
32,1,4,0,0,0,4,1271,10,3,1
782,0,3,0,0,0,0,2851,42,4,1
578,0,5,0,0,1,7,2902,47,0,0
421,2,0,0,0,1,7,2589,2,1,0
1162,0,4,0,0,0,9,1039,13,5,1
1159,2,4,0,0,0,7,1517,12,0,0
862,2,2,0,1,0,3,595,21,7,1
471,1,2,0,0,1,5,2421,17,0,0
790,1,1,1,0,0,9,2716,38,5,1
926,0,0,0,0,0,0,612,42,0,0
196,0,2,0,1,0,1,1483,44,6,1
613,1,0,0,0,0,1,1913,27,6,0
894,0,1,0,0,0,3,367,12,3,0
195,1,4,1,0,0,4,725,3,6,0
224,0,2,1,0,1,7,1741,16,5,1
937,0,5,0,0,0,9,1457,1,3,0
983,0,0,0,0,1,5,1941,8,6,1
58,1,2,0,0,0,2,2366,16,5,0
47,2,3,0,0,0,1,1500,15,1,1
851,2,2,0,0,1,1,654,34,2,0
527,2,4,0,0,0,7,2764,37,7,0
41,2,2,0,0,1,5,1809,29,1,0
1060,1,1,0,0,0,2,2351,3,2,0
426,0,2,0,0,0,8,2628,6,6,0
318,0,3,0,0,0,0,351,1,1,0
1434,2,2,0,0,0,1,640,16,5,0
870,2,4,0,0,0,5,700,32,2,0
743,1,4,0,0,0,1,501,43,5,0
1226,0,2,0,1,1,6,1696,48,4,1
546,1,3,0,1,0,3,688,18,3,1
417,1,1,0,0,0,2,2034,16,6,0
1363,1,5,0,0,0,5,1149,6,4,0
874,2,1,1,0,0,3,2300,45,3,1
1460,2,4,0,0,0,1,1318,4,1,0
652,1,3,0,0,0,5,2763,35,1,0
1125,0,5,0,0,1,3,1578,42,7,1
979,0,1,0,0,1,3,2807,3,4,0
1056,0,4,0,0,0,1,2883,48,0,0
759,1,1,0,0,0,7,1279,41,6,0
700,2,5,0,0,1,7,2699,11,2,0
484,0,5,0,0,0,0,919,8,0,0
210,2,4,0,0,1,1,2237,44,1,0
575,0,2,0,0,0,5,1933,31,2,0
139,2,5,0,0,1,2,656,34,1,0
955,0,3,0,0,0,1,2389,8,2,0
518,0,0,0,0,0,0,811,37,2,1
1485,1,3,0,0,1,0,584,45,7,1
1245,0,4,0,0,0,0,1546,44,4,0
1469,0,5,0,0,0,8,98,8,6,0
638,0,4,0,0,0,2,2193,41,1,0
1147,0,5,0,0,1,2,2066,47,4,1
1425,1,5,0,0,0,8,1352,46,1,0
927,0,2,0,0,1,3,2665,1,6,0
607,0,0,0,0,0,7,1065,42,7,0
1042,2,2,0,0,0,2,2834,3,7,0
1283,0,1,1,0,0,1,2839,40,5,0
805,2,0,1,0,0,6,275,22,4,1
946,0,5,0,0,0,1,1618,49,7,0
1372,0,5,0,0,0,2,1427,39,3,0
176,1,3,0,0,0,2,2467,35,6,0
1346,2,1,0,0,0,3,2624,16,1,0
702,0,0,0,0,0,9,2712,5,5,0
1346,0,4,0,0,0,9,2429,41,1,0
947,2,4,0,0,0,3,2445,12,6,0
487,0,3,0,0,0,4,2925,26,5,0
630,2,2,0,0,1,2,2393,39,4,1
65,0,5,0,0,0,5,232,3,4,0
665,1,1,0,0,0,9,818,9,0,0
28,1,5,0,0,0,9,100,18,6,1
1112,2,3,0,0,1,2,1488,49,4,1
1306,2,4,0,0,0,8,2548,4,5,1
1260,2,4,0,0,1,8,2446,30,6,1
999,2,5,0,0,0,2,720,6,2,0
1429,2,3,0,0,0,1,2318,49,6,0
1411,0,2,0,0,0,3,2534,41,5,0
478,2,0,0,0,0,4,553,38,3,0
629,2,2,0,0,0,3,2224,16,0,0
1429,2,1,0,0,1,8,353,28,6,0
1407,2,3,0,0,0,3,2236,45,3,0
1462,2,1,0,0,1,8,1154,44,1,1
1313,1,3,0,0,0,1,2485,32,1,0
136,1,1,1,0,0,4,1872,18,7,0
1122,1,3,0,0,0,9,1832,12,1,0
95,1,3,0,0,0,6,579,34,4,1
415,2,0,0,0,1,1,1202,39,1,0
973,1,0,0,0,0,1,653,34,6,0
443,0,3,0,1,0,4,898,5,2,1
891,0,4,0,0,0,7,2788,34,6,1
436,0,3,0,0,0,4,1562,43,7,0
369,1,0,0,0,0,6,1549,40,6,1
1403,1,2,0,0,0,6,952,7,3,0
347,0,2,0,0,0,1,771,29,2,0
163,0,4,0,0,1,9,1733,24,1,1
66,1,4,0,0,1,6,1808,35,5,1
28,2,2,0,0,0,6,1359,38,2,0
449,1,5,0,0,1,0,2082,20,6,1
483,0,2,0,0,0,2,1387,27,6,0
1423,2,3,0,0,0,8,736,24,7,1
1228,1,5,1,0,0,9,2466,32,3,1
102,1,1,0,0,0,0,2245,39,5,0
550,0,4,0,0,1,8,1064,35,2,1
1183,1,4,0,0,0,5,344,46,2,0
187,1,1,0,0,0,8,1134,1,5,0
995,0,3,0,0,0,0,756,45,0,0
726,2,2,0,0,1,0,714,16,4,0
455,1,0,0,0,0,4,926,4,7,1
436,0,2,0,0,1,5,2275,35,7,1
1227,0,3,0,0,0,3,2431,36,4,0
1330,2,0,0,0,0,4,1848,32,3,0
1147,1,2,0,0,0,3,2397,10,3,0
272,2,4,0,0,0,1,445,34,4,1
425,1,4,0,0,0,8,2767,20,0,0
611,1,0,0,0,0,6,759,13,4,0
764,0,0,0,0,0,5,980,38,7,0
1199,0,2,0,0,0,8,1833,40,7,1
730,1,5,1,0,1,8,642,18,6,1
1381,1,4,0,0,0,4,2483,36,0,0
1236,1,1,0,0,0,9,431,24,1,0
1224,2,3,0,0,0,7,2863,48,7,1
320,2,1,0,0,0,7,2573,10,1,0
416,1,2,0,0,0,2,2993,11,3,0
810,1,3,0,0,1,5,2499,33,7,1
785,0,2,0,0,0,0,2756,22,3,0
606,0,3,0,0,1,3,931,50,1,1
669,2,4,0,0,0,0,1667,47,3,0
36,0,5,0,0,0,5,1329,30,1,1
152,2,1,1,1,1,3,1423,21,4,1
1409,0,2,0,0,0,3,1131,44,5,0
593,2,3,0,0,0,7,1000,50,0,0
1477,0,0,0,0,1,3,1363,27,4,0
1238,2,3,0,0,0,0,417,47,7,0
303,0,5,0,0,1,2,1363,20,3,1
621,1,5,0,0,0,0,448,21,0,0
718,2,2,0,0,0,0,817,17,0,0
903,1,2,0,1,1,6,1806,23,3,1
404,1,3,0,0,0,8,2949,35,3,0
1156,0,2,1,1,0,8,2445,48,1,1
415,2,5,0,0,1,8,278,5,4,1
1166,1,0,1,0,1,7,2437,2,1,1
482,0,5,0,0,0,9,1488,31,7,1
508,0,1,1,0,0,3,1481,6,5,1
249,2,5,0,0,0,8,289,7,5,0
492,2,4,0,0,0,8,1093,36,7,1
1096,1,5,0,0,0,8,690,31,5,0
1229,0,3,1,0,0,1,131,16,3,0
1165,1,2,0,1,1,6,1298,44,6,1
1438,2,3,1,0,0,9,2033,32,5,1
453,2,5,0,0,0,2,826,47,2,0
1465,2,0,0,0,0,1,2418,13,3,0
849,1,0,0,0,0,7,1287,50,2,0
1408,2,4,0,0,0,3,487,2,5,0
249,1,4,0,0,0,9,2720,43,3,0
123,0,4,0,0,0,4,2993,19,3,0
20,0,2,0,0,0,2,1781,17,0,0
1365,0,0,0,0,0,7,2870,38,6,0
1366,2,0,0,0,0,1,483,37,6,0
925,1,3,0,0,0,3,108,25,6,0
828,1,0,0,0,1,5,2620,3,4,0
351,2,3,0,0,1,9,2581,18,5,1
1027,1,1,0,0,0,0,1897,34,7,0
279,0,1,0,1,0,0,1540,27,2,0
419,2,0,0,0,0,7,985,20,6,0
587,1,2,0,0,1,3,2253,7,5,1
1091,0,3,0,0,1,3,2860,47,5,1
1076,0,4,0,0,0,3,2477,5,3,0
408,2,2,0,0,0,6,1733,9,2,0
705,1,5,0,0,0,9,311,47,3,0
900,0,2,0,0,0,0,930,18,2,0
60,1,1,0,0,0,1,1027,15,6,0
795,1,2,0,0,0,1,2661,27,0,0
272,2,3,0,0,0,7,366,44,1,1
518,0,1,0,0,0,0,1240,40,2,0
445,1,4,0,0,0,4,735,37,3,0
1132,0,0,0,0,0,1,1049,42,3,0
1051,0,0,0,0,1,4,809,4,2,0
1497,2,5,0,0,0,7,2573,37,7,0
424,2,2,0,0,0,1,1624,45,7,0
261,2,1,0,0,0,2,2630,20,4,0
441,1,4,0,0,1,9,1147,50,0,0
208,2,0,0,0,0,9,2468,13,1,0
1038,0,3,0,0,0,9,2602,24,3,0
1140,0,0,0,0,0,3,2894,38,4,0
418,2,4,0,0,1,9,1087,14,6,1
211,1,3,0,1,0,3,1288,37,5,0
1405,2,1,0,0,1,0,128,47,7,0
1486,0,4,1,0,0,4,621,39,5,1
531,1,0,0,0,1,3,752,50,4,0
1305,1,2,0,0,0,2,1391,31,1,0
800,2,1,0,0,0,9,309,41,4,0
440,0,1,0,0,0,9,617,37,0,0
695,0,3,0,0,0,4,1177,24,1,0
1057,2,5,0,1,0,5,413,30,5,0
264,0,1,0,0,0,3,1082,26,0,0
265,1,0,0,0,0,7,2029,35,6,1
1459,0,1,0,0,1,7,1907,32,5,1
1009,2,1,0,1,0,8,2511,24,3,0
521,2,3,0,0,0,5,759,31,3,0
531,1,5,0,0,0,0,1314,2,4,1
663,1,4,0,0,0,8,2693,26,3,1
683,2,1,0,0,0,4,1877,8,7,0
690,0,2,0,0,1,1,1931,46,4,0
1362,1,5,0,0,1,2,1045,38,5,0
700,0,1,0,1,0,5,1521,13,5,0
535,1,4,0,0,0,8,1948,47,1,1
1477,0,1,0,0,0,2,960,19,4,0
380,0,1,0,0,1,5,2306,19,4,1
1038,0,5,0,0,0,2,613,12,6,0
513,2,3,0,0,0,2,217,40,5,0
1377,2,4,0,1,1,0,1096,21,6,1
1076,0,0,0,0,0,8,2507,38,4,1
11,0,5,0,1,0,5,1255,9,0,1
814,0,0,0,0,0,4,2848,47,7,1
895,1,5,1,1,1,9,1223,3,6,1
740,1,1,0,1,0,3,2029,15,1,0
906,1,4,0,0,0,3,2663,30,2,0
681,2,0,0,1,0,4,174,31,4,0
1468,1,4,1,0,0,6,820,28,5,1
783,1,1,0,0,0,2,1656,17,4,0
1298,0,1,0,0,0,9,1517,10,5,1
738,1,1,0,0,0,7,1058,20,7,0
253,0,3,0,0,0,0,814,1,6,0
851,1,5,0,0,0,5,1706,19,5,1
635,0,2,0,0,0,0,2556,24,6,0
1131,1,2,0,0,0,5,2200,10,2,0
184,0,3,1,1,0,7,1302,44,4,1
739,0,1,0,0,0,0,843,47,7,0
564,0,2,0,0,1,2,2585,43,1,0
453,0,5,0,0,0,9,1916,24,0,0
937,1,1,0,0,0,1,1666,41,3,0
1113,0,3,0,0,1,0,2707,16,4,1
430,2,3,0,0,1,2,1812,28,7,0
611,2,1,0,0,1,2,2002,48,1,0
529,1,2,0,0,0,7,1634,13,0,0
1247,2,4,0,0,0,8,2838,27,5,0
776,0,1,0,0,0,7,1437,46,6,0
139,1,4,0,0,1,0,1394,39,6,1
1368,0,3,0,0,0,3,2634,43,2,0
134,1,4,0,0,1,0,533,16,6,1
1132,0,2,0,0,0,1,2193,49,5,0
886,0,0,0,0,0,0,2266,50,7,0
1300,0,1,0,1,0,0,2718,18,0,0
146,0,0,0,0,0,5,2188,4,7,0
437,0,0,0,0,0,7,1884,27,5,0
254,2,3,0,0,0,5,2530,15,5,1
1227,0,4,0,0,0,8,2677,21,2,1
844,1,4,0,1,0,5,1731,1,7,1
