courier_risk_score,delivery_attempts,delivery_delay_days,otp_confirmation,delivery_photo,pickup_delay_days,pickup_attempts,tamper_route,distance_km,weight_mismatch,logistics_risk_label
0.96,2,8,1,1,9,3,0,1775,0,1
0.96,5,10,1,1,5,3,0,77,0,0
0.24,2,11,1,0,1,3,0,1459,0,0
0.44,4,8,0,0,12,3,0,596,0,1
0.76,4,12,1,1,2,4,0,2080,0,1
0.98,4,0,1,0,3,4,0,291,0,1
0.99,3,9,1,1,6,4,0,2007,0,1
0.98,2,10,1,0,5,3,0,1084,0,0
0.30,1,13,1,1,10,1,0,1875,1,1
0.36,1,14,1,0,7,4,0,2037,1,0
0.02,1,3,1,0,4,1,0,20,1,0
0.88,3,11,1,1,6,2,0,130,0,1
0.87,4,6,0,1,5,3,0,2155,0,0
0.31,4,13,1,1,6,1,0,775,1,0
0.25,3,7,1,0,3,1,1,1184,1,1
0.26,3,9,1,1,5,3,0,567,0,0
0.45,2,9,1,1,2,1,0,412,1,0
0.76,5,8,1,0,8,2,0,2007,0,1
0.25,5,0,1,1,1,4,0,1744,0,0
0.78,1,6,0,1,8,3,0,1676,0,1
0.90,4,3,1,1,0,4,0,846,1,1
0.72,3,3,1,0,6,2,0,2156,0,1
0.38,4,13,0,1,10,1,0,1020,0,1
0.56,4,10,1,0,11,2,0,871,0,1
0.77,2,2,0,1,10,2,0,579,1,0
0.44,4,3,1,1,5,3,0,1477,0,0
0.38,3,1,1,0,4,1,0,9,0,0
0.24,1,4,1,0,5,4,1,1918,0,0
0.57,5,1,0,1,0,2,0,2226,0,0
0.19,5,8,1,1,12,4,0,1348,0,0
0.22,2,9,1,1,5,4,0,1447,0,0
1.00,4,11,0,1,0,4,0,564,1,1
0.79,5,6,1,1,1,2,0,186,0,0
0.39,5,0,1,1,11,3,0,662,0,0
0.21,5,6,1,1,7,1,0,1205,0,0
0.82,5,0,1,1,8,1,1,998,0,1
0.75,3,6,1,0,2,4,0,1537,1,1
0.20,1,13,1,1,10,3,0,2282,0,0
0.98,4,4,0,1,10,2,1,2238,1,1
0.80,2,9,1,1,7,1,0,1872,0,1
0.05,2,1,1,1,6,4,0,1127,0,0
0.49,4,3,1,1,11,1,0,1394,1,0
0.86,4,14,1,1,1,2,0,1440,0,1
0.12,3,0,0,1,11,2,0,2090,0,0
0.41,5,11,1,1,7,1,0,148,0,0
0.11,1,8,0,0,13,3,0,294,0,0
0.31,1,14,1,0,9,1,0,655,1,0
0.34,3,12,1,1,9,1,0,2305,0,0
0.64,2,9,1,1,8,3,0,1283,0,1
0.04,4,13,1,1,8,4,0,1098,0,1
0.11,4,2,0,0,12,2,0,2166,0,1
0.98,5,7,0,1,5,2,1,2362,0,1
0.12,5,8,1,1,12,4,0,173,0,0
0.53,2,7,1,1,12,1,0,1667,1,1
0.66,2,10,1,1,7,3,0,836,0,0
0.40,1,5,1,0,11,3,0,2088,0,1
0.14,5,13,0,1,12,2,0,1363,0,0
0.92,1,11,1,0,0,2,0,2342,0,0
0.83,2,5,1,0,6,3,0,359,0,0
0.05,1,4,1,0,4,4,0,1673,0,0
0.48,2,3,1,1,12,1,0,640,0,0
0.40,5,2,1,1,10,3,0,1651,0,0
0.68,5,10,0,1,13,3,0,1512,0,1
0.01,1,6,1,0,14,4,0,996,0,1
0.28,2,2,1,0,3,1,0,1015,0,0
0.78,3,14,1,1,11,2,0,1811,0,1
0.04,3,6,1,1,8,3,0,990,0,1
0.33,2,6,0,1,11,2,1,1189,0,1
0.30,5,3,1,1,10,1,0,2164,0,0
0.96,1,5,1,1,14,2,0,581,0,0
0.15,5,13,1,1,6,1,1,2113,0,1
0.71,1,10,1,1,0,3,0,1224,0,1
0.62,1,1,1,1,0,1,0,1464,0,0
0.21,4,2,1,0,12,4,0,841,0,0
0.56,1,12,0,1,11,4,0,1678,0,1
0.79,3,14,1,1,2,3,1,526,0,1
0.13,2,5,1,0,14,4,1,1583,0,1
0.35,4,4,0,0,10,4,0,284,0,1
0.67,3,3,1,1,1,1,0,9,1,1
0.44,3,11,0,1,14,1,0,759,0,0
0.60,2,14,1,1,9,1,0,1194,0,1
0.83,4,10,0,1,11,3,0,441,0,1
0.31,1,10,1,1,7,4,0,2356,1,0
0.46,3,3,1,1,14,3,0,110,0,0
0.18,2,3,0,1,4,4,0,1208,0,0
0.44,4,0,1,0,11,3,0,578,0,0
0.79,2,7,0,1,1,4,0,488,0,1
0.90,2,1,1,1,6,2,1,268,0,1
0.14,4,12,0,0,11,4,0,2289,0,1
0.56,4,14,1,1,10,3,0,2175,1,1
0.38,1,0,1,1,0,3,0,1507,1,0
0.49,3,11,1,1,0,1,0,331,0,0
0.89,5,4,1,0,2,4,0,987,0,1
0.68,3,6,1,1,14,3,0,384,0,1
0.70,3,4,0,1,0,3,0,204,0,0
0.18,3,5,1,0,4,3,0,1478,0,0
0.06,2,3,1,0,4,3,0,1016,0,0
0.68,4,13,0,0,2,2,0,1428,0,1
0.33,4,11,1,1,2,2,1,475,0,0
0.16,3,1,0,1,12,1,1,2015,0,1
0.59,1,8,1,0,9,1,0,1634,1,0
0.07,5,11,0,0,4,1,1,110,0,0
0.30,2,7,1,1,8,2,0,2097,0,0
0.81,4,4,1,1,14,3,0,140,0,1
0.84,1,6,1,1,5,2,0,1490,0,0
0.32,4,12,1,0,12,1,0,1848,0,0
0.01,4,0,0,0,7,2,0,69,0,0
0.04,1,10,1,0,8,2,1,942,0,0
0.51,2,4,0,1,4,3,0,116,1,0
0.61,4,13,0,1,7,1,0,508,0,1
0.57,4,11,1,1,8,1,0,438,0,0
0.70,1,2,1,1,14,3,0,101,0,0
0.18,1,13,1,0,2,4,0,2483,0,0
0.29,4,10,0,1,6,4,0,445,0,1
0.29,1,3,0,0,1,3,0,1890,0,0
0.94,3,14,1,1,9,3,0,2036,0,1
0.38,4,8,0,1,11,4,1,1259,0,1
0.41,3,13,1,0,1,3,0,2435,0,1
0.72,1,11,1,1,11,2,0,95,0,0
0.80,1,6,1,0,1,3,1,2420,0,1
0.11,3,13,1,0,10,4,0,669,0,1
0.61,4,9,1,1,3,2,1,137,0,0
0.25,1,13,1,0,4,3,0,410,0,0
0.58,2,7,1,1,0,4,0,41,0,0
0.22,2,11,1,1,3,3,1,168,0,0
0.95,2,13,1,0,0,1,1,642,0,1
0.78,1,6,1,1,5,3,0,2499,0,0
0.09,1,12,0,1,10,3,0,2145,0,0
0.89,1,6,0,1,9,3,0,2472,0,1
0.79,3,13,0,1,10,3,0,1270,0,1
0.75,1,1,0,1,11,2,0,246,1,1
0.15,3,12,1,1,8,3,0,1031,1,1
0.78,5,8,1,0,11,1,0,1582,1,1
0.94,1,10,0,0,14,1,1,128,0,1
0.52,3,1,1,1,2,4,0,561,0,0
0.18,2,14,1,1,2,1,1,1370,0,0
0.87,2,12,1,0,3,4,0,121,0,0
0.26,5,1,1,1,8,3,0,790,0,0
0.35,4,13,0,1,11,3,0,462,0,0
0.91,1,14,1,0,10,3,0,720,0,1
0.96,3,1,1,1,4,4,0,672,0,0
0.94,5,8,1,1,5,3,0,2337,1,1
0.84,2,10,0,1,6,1,0,889,0,1
0.91,3,9,1,1,4,4,0,1061,1,1
0.43,4,7,0,1,14,2,0,410,0,1
0.19,1,14,0,0,10,2,1,704,0,1
0.17,5,4,1,0,0,1,0,2149,0,0
0.02,2,10,1,1,11,1,1,1828,0,0
1.00,3,13,0,0,8,2,1,1038,0,1
0.34,3,10,1,1,8,1,1,2474,0,0
0.66,3,13,1,1,9,3,0,1731,0,1
1.00,2,1,1,1,2,2,1,638,0,0
0.54,1,2,1,1,7,1,0,1174,0,0
0.71,3,8,0,0,11,4,0,1729,1,1
0.01,5,10,1,1,0,1,0,24,0,0
0.33,3,13,0,1,13,4,0,54,0,0
0.85,5,3,1,1,12,4,0,227,0,1
0.37,5,12,1,1,6,3,0,334,0,0
0.73,4,2,0,1,8,4,0,1694,0,1
0.80,2,12,1,1,4,1,1,2251,0,1
0.09,1,2,0,1,8,2,0,460,1,0
0.88,5,1,1,0,10,3,0,837,0,1
0.44,2,8,1,1,11,3,1,1826,1,1
0.68,2,12,0,1,4,2,0,1872,0,0
0.02,4,13,0,0,8,3,1,1650,0,1
0.15,3,14,1,1,13,2,1,1187,0,1
0.48,4,9,1,1,2,2,0,1802,0,0
0.77,2,5,1,1,12,1,0,542,0,0
0.36,1,10,1,1,9,1,0,671,1,0
0.62,4,12,1,0,7,2,0,1435,0,1
0.50,5,10,1,0,3,1,0,1457,0,0
0.59,3,3,1,1,9,4,0,433,0,0
0.16,2,7,1,0,2,4,1,789,0,0
0.26,2,3,0,1,13,4,0,86,0,0
0.47,3,4,0,1,11,2,0,1109,1,1
0.27,5,9,0,1,14,4,1,1489,0,1
0.11,1,2,1,1,0,2,0,5,0,0
0.62,2,5,1,1,5,4,0,980,0,0
0.57,3,12,1,1,11,1,0,1861,1,0
0.54,1,7,1,0,4,2,0,912,0,0
0.94,4,10,0,1,6,1,0,1907,0,1
0.65,5,0,1,0,11,1,0,1704,0,1
0.79,1,11,1,0,2,1,0,885,0,1
0.42,2,1,0,1,8,2,0,1877,1,0
0.48,4,0,1,1,14,3,0,933,0,0
0.75,2,6,1,1,11,3,0,1363,0,0
0.34,1,12,0,1,3,4,0,1709,0,1
0.01,5,1,1,1,11,2,0,1796,0,0
0.39,3,2,1,1,1,2,0,1320,0,0
0.51,1,0,1,0,11,1,1,1330,0,0
0.27,3,11,1,0,14,4,1,2152,0,1
0.05,2,13,1,1,7,2,1,680,0,0
0.35,2,0,1,1,6,2,0,1380,0,0
0.68,5,0,1,0,14,4,0,142,0,0
0.22,5,14,1,1,5,4,1,470,0,0
0.82,5,14,0,1,1,1,0,2493,1,1
0.10,1,9,1,1,13,4,0,429,0,0
0.76,2,2,0,1,7,2,0,660,0,0
0.10,4,10,1,1,5,4,0,65,0,0
0.40,4,10,1,1,12,3,0,166,0,0
0.14,2,6,1,1,4,2,0,2454,0,0
0.51,4,7,0,1,7,3,1,81,0,1
0.55,1,12,1,1,10,2,1,702,0,0
0.20,4,9,1,1,4,3,0,2213,0,0
0.13,3,7,1,1,7,3,0,315,0,0
0.99,1,4,1,1,0,3,1,2129,1,0
0.85,1,3,1,1,0,4,0,2301,0,0
0.83,4,8,1,1,13,3,0,1713,0,1
0.57,4,2,1,1,3,4,0,1638,0,0
0.92,3,13,0,1,10,3,1,1581,0,1
0.51,2,3,1,1,14,1,0,1620,0,0
0.65,5,10,1,0,13,1,0,2003,0,1
0.82,4,0,1,1,3,4,0,912,0,0
0.34,3,9,1,1,5,2,0,2488,1,1
0.20,5,13,1,0,2,2,0,1857,0,0
0.37,1,12,1,1,10,2,0,2419,0,0
0.12,1,6,0,1,2,3,0,1875,0,0
0.04,3,10,1,0,8,3,0,2171,0,1
0.61,1,4,1,1,1,1,0,1973,0,0
0.60,4,12,1,1,0,3,0,2167,0,0
0.17,5,4,0,1,0,1,0,1795,0,0
0.68,3,1,1,1,6,2,0,1550,0,1
0.54,1,5,1,1,1,4,0,744,0,0
0.71,1,8,1,0,3,4,0,1513,0,1
0.80,3,5,1,0,2,3,0,14,0,0
0.32,3,2,1,1,13,2,0,901,1,0
0.23,1,0,0,1,13,1,0,836,0,0
0.42,2,3,1,1,3,2,0,475,0,0
0.46,5,1,0,1,9,1,1,1642,1,1
0.96,4,10,1,1,7,2,0,393,0,1
0.63,1,12,1,1,12,4,1,176,0,0
0.66,4,7,0,1,14,4,0,1523,0,1
0.19,4,7,1,0,12,1,0,635,0,0
0.92,5,13,1,1,5,3,1,2282,0,1
0.30,3,10,1,1,8,1,0,712,0,0
0.24,3,6,1,0,6,1,0,2220,0,1
0.85,4,4,1,1,0,1,0,1373,0,0
0.25,1,2,1,1,10,4,1,1458,0,0
0.02,2,7,1,1,13,3,0,1843,0,0
0.08,4,6,1,0,10,4,0,913,0,1
0.87,3,5,1,0,10,1,0,1899,1,1
0.45,5,2,1,1,5,2,1,2443,0,0
0.30,5,7,1,1,8,1,0,246,1,0
0.71,2,6,1,1,4,3,0,1325,1,1
0.37,4,10,1,0,5,4,0,290,0,0
0.62,2,11,1,0,7,3,0,277,0,1
0.31,1,13,1,0,12,4,0,2366,0,0
0.79,4,0,1,1,9,3,0,2363,0,1
0.28,4,3,1,1,11,4,0,1497,1,1
0.24,5,4,1,1,14,1,1,1948,0,0
0.12,3,8,1,1,11,1,0,1870,1,0
0.21,5,12,1,1,2,1,0,1181,0,0
0.89,2,9,1,1,11,3,0,1450,0,1
0.33,4,0,0,1,9,2,0,623,0,0
0.23,3,8,1,0,2,3,0,143,0,0
0.13,2,14,1,1,3,3,0,2093,0,0
0.01,3,10,1,1,8,1,0,258,0,0
0.41,5,7,1,1,4,3,1,1214,0,0
0.35,1,3,1,0,1,1,0,1728,0,0
0.47,3,7,1,1,7,4,0,470,0,0
0.03,5,1,1,0,4,2,0,1429,0,0
0.03,1,9,1,1,3,1,0,2285,0,0
0.28,5,5,1,1,1,2,1,778,0,0
0.76,3,9,1,1,2,3,0,712,0,0
0.47,3,4,1,1,0,3,0,1065,0,0
0.72,1,4,1,1,6,3,0,944,0,0
0.27,5,1,1,0,10,1,0,1774,0,0
0.43,2,12,1,1,12,2,1,1687,0,0
0.89,1,4,0,1,3,1,0,1156,0,0
0.29,4,9,1,1,4,2,1,1792,0,0
0.11,2,11,1,0,2,1,1,1402,0,0
0.91,3,13,1,1,3,4,0,857,0,1
0.78,4,1,1,1,10,2,0,1682,1,1
0.69,2,5,0,0,7,2,0,1484,1,1
0.38,1,14,1,0,10,1,1,2320,1,1
0.10,3,2,1,0,2,4,0,1955,0,0
0.73,1,9,0,1,6,2,0,1332,0,0
0.83,4,4,1,1,10,2,1,42,0,1
0.91,4,10,0,1,10,3,0,463,0,1
0.83,5,1,0,1,4,4,1,1500,0,1
0.32,2,13,1,1,7,2,0,647,0,0
0.17,2,6,1,1,2,3,0,1376,0,0
0.02,5,12,0,0,13,4,1,2257,0,1
0.49,1,11,0,0,4,1,0,808,0,0
0.39,4,8,0,1,1,3,0,2456,0,1
0.56,3,2,1,1,13,4,0,895,0,1
0.23,3,12,1,0,0,2,0,2386,0,0
0.74,4,6,1,1,13,1,0,1422,0,1
0.36,1,2,1,1,6,4,0,2356,0,0
0.80,4,1,1,0,9,1,0,800,0,0
0.60,2,1,1,0,2,3,0,2009,0,0
0.24,2,14,1,1,13,1,1,1897,1,0
0.83,1,1,1,1,12,2,0,900,0,0
0.01,4,13,0,1,13,4,0,2424,0,1
0.53,4,4,1,1,5,1,0,798,0,0
0.64,4,0,0,0,12,1,0,0,1,1
0.26,1,9,1,0,7,3,1,2098,1,1
0.76,5,11,1,1,13,1,1,1678,0,1
0.13,5,12,0,1,4,4,0,985,0,1
0.48,3,9,0,1,5,1,0,1620,0,0
0.19,1,0,1,1,0,3,0,571,1,0
0.64,1,0,1,0,11,3,0,571,0,1
0.37,4,2,1,1,5,1,0,409,0,0
0.85,3,12,0,1,0,3,1,1066,0,1
0.73,3,2,1,1,12,1,1,852,1,1
0.38,3,14,1,0,0,1,0,1490,1,0
0.33,1,11,1,1,0,2,1,684,1,0
0.20,5,6,0,1,8,4,0,2040,0,1
0.92,5,14,1,1,2,4,0,1436,1,1
0.75,3,6,1,0,10,1,0,1133,1,0
0.98,3,3,1,1,9,3,0,2233,0,1
0.51,3,11,1,1,1,4,0,1554,0,1
0.33,4,3,0,1,14,4,0,763,0,0
0.83,1,4,1,1,5,4,1,384,0,0
0.95,1,14,1,0,2,1,0,1753,0,0
0.49,4,2,1,1,7,2,0,78,0,0
0.91,4,13,1,1,2,4,0,686,0,1
0.34,3,6,0,1,8,4,0,1315,0,1
0.48,1,5,0,1,7,4,0,609,0,0
0.24,2,3,1,0,10,3,0,946,0,0
0.91,3,3,1,0,8,2,0,898,0,1
0.47,4,13,1,1,13,3,0,1227,0,0
0.83,2,10,1,0,2,3,0,1476,1,1
0.02,2,11,1,0,0,1,0,1969,0,0
0.46,1,10,1,0,5,2,0,2171,0,0
0.62,4,11,1,1,2,3,0,469,0,0
0.35,3,9,1,1,4,1,0,2398,1,0
0.64,1,9,1,0,1,3,0,1691,0,0
0.80,5,1,1,1,2,1,0,1724,1,1
0.29,5,1,1,1,14,3,1,61,1,1
0.98,4,8,1,1,4,3,0,2242,0,1
0.16,1,5,1,1,7,1,0,324,0,0
0.34,1,4,1,1,4,3,0,312,0,0
0.28,2,13,1,1,13,1,0,711,0,0
0.62,4,5,0,0,14,2,0,1959,0,1
0.42,1,3,1,1,10,2,0,201,0,0
0.73,5,14,1,0,1,2,0,767,0,1
0.74,5,2,1,1,12,3,0,2292,0,0
0.34,5,2,0,1,10,2,0,441,1,0
0.08,5,14,1,0,6,1,0,641,0,0
0.18,4,14,1,1,14,4,0,1535,0,1
0.85,4,11,0,1,4,2,0,2349,0,1
0.87,1,11,1,0,12,4,0,761,0,0
0.51,3,3,1,1,3,2,1,2265,0,0
0.31,5,9,1,1,11,1,1,1799,0,1
0.43,2,5,0,0,3,4,0,1626,1,1
0.52,3,4,0,1,4,1,1,1844,0,1
0.15,3,0,1,1,12,4,0,2465,0,0
0.18,1,13,1,1,10,3,0,439,0,0
0.64,3,3,0,1,13,4,1,1269,0,1
0.35,3,7,1,0,8,1,0,661,1,1
0.38,5,3,1,0,10,2,0,419,0,0
0.42,5,8,0,1,6,3,0,2408,0,1
0.49,1,0,1,1,13,3,0,1812,0,0
0.47,1,7,0,1,13,3,1,1567,0,1
0.90,5,11,1,1,8,4,0,1233,1,1
0.39,2,3,0,1,1,4,1,964,1,1
0.83,3,2,0,1,1,2,0,2427,0,0
0.83,2,0,1,1,10,4,1,1391,0,1
0.37,2,3,1,0,7,3,0,1406,0,0
0.22,1,3,1,0,8,3,0,919,0,0
0.29,1,13,1,1,12,4,0,2062,0,0
0.81,4,13,0,1,10,3,0,1315,1,1
0.62,3,9,1,1,11,2,0,2386,0,1
0.34,2,6,1,1,12,3,0,1343,1,1
0.64,1,14,1,0,1,3,0,185,0,1
0.59,4,2,1,1,3,2,0,1044,0,0
0.68,1,5,1,1,14,3,0,741,0,0
0.71,3,5,1,0,5,4,0,1550,0,0
0.81,1,1,0,0,6,2,0,1583,1,1
0.65,3,9,1,1,7,4,0,23,1,1
0.74,2,11,1,1,12,1,1,803,1,1
0.12,1,3,0,0,10,2,0,893,0,0
0.80,3,8,0,1,3,1,1,1847,0,1
0.09,5,13,1,1,1,4,0,309,0,0
0.39,3,5,1,1,7,3,0,1384,0,0
0.31,3,4,1,0,9,3,0,923,0,0
0.30,3,3,0,1,13,3,0,1768,0,1
0.51,1,5,1,1,12,3,1,1042,0,0
0.01,5,1,1,1,4,2,0,1151,0,0
0.06,4,2,1,1,7,4,0,1897,0,0
0.81,2,0,1,1,0,4,0,2252,0,0
0.30,3,3,1,1,5,2,0,1818,0,0
0.95,4,12,1,1,5,1,1,1681,0,1
0.49,2,5,1,0,13,4,0,952,0,1
0.10,2,6,1,0,5,1,0,2201,1,1
0.44,5,4,0,0,10,3,0,1451,0,0
0.19,2,13,1,1,0,1,1,93,0,0
0.54,3,3,1,1,14,4,0,2058,0,0
0.40,5,7,0,1,11,1,0,2214,0,0
0.95,4,6,1,1,2,3,0,1203,0,0
0.93,1,2,1,0,9,4,0,107,0,0
0.28,5,14,1,1,8,3,0,614,0,0
0.07,5,10,0,1,5,4,1,55,0,0
0.48,1,11,1,0,10,2,0,627,0,0
0.85,5,0,1,1,4,1,0,210,0,0
0.12,5,10,1,1,1,2,0,1501,0,0
0.92,3,14,1,0,13,2,0,181,0,1
0.69,1,4,0,0,7,3,0,1658,0,1
0.69,3,10,0,0,6,4,0,1980,0,1
0.35,3,10,0,1,12,2,1,172,0,1
0.08,4,12,1,0,3,4,0,456,0,0
0.06,1,2,1,1,4,4,0,1944,1,0
0.60,4,5,1,1,0,4,0,2395,1,0
0.87,4,3,1,0,3,4,0,1386,0,1
0.23,4,9,1,1,8,3,1,1340,1,1
0.60,2,9,0,1,1,1,0,1254,1,0
0.67,4,12,1,1,1,1,0,1190,0,0
0.03,4,5,0,1,11,2,0,885,0,0
0.67,1,0,0,1,4,3,1,1798,0,1
0.88,2,13,1,1,8,1,0,499,0,0
0.89,1,1,1,0,1,3,1,1024,0,1
0.61,2,5,1,1,3,2,0,1786,0,1
0.40,3,4,1,0,7,4,1,1860,0,1
0.05,5,4,1,1,12,3,0,2108,0,0
0.93,2,14,1,0,10,1,0,1290,0,1
0.48,4,14,1,0,11,3,0,644,0,0
0.67,1,0,0,1,10,2,0,2326,0,0
0.47,3,11,1,0,12,1,0,296,1,1
0.23,2,9,1,1,1,1,1,903,0,0
0.68,4,13,1,1,14,1,0,1085,0,1
0.11,4,13,1,0,14,4,0,2424,0,1
0.04,4,5,1,1,5,2,0,1574,0,0
0.64,2,9,0,1,8,1,1,874,0,1
0.95,5,2,1,1,3,2,0,1261,1,1
0.46,5,5,1,1,10,3,1,2421,0,1
0.79,1,13,1,1,12,3,0,1885,0,0
0.27,1,3,1,0,10,3,0,1688,0,0
0.56,2,8,1,1,13,1,0,1731,1,1
0.82,2,9,0,1,3,2,0,1379,0,0
0.87,5,2,0,0,7,3,0,2490,0,1
0.22,2,11,0,0,5,3,0,1347,0,1
0.07,2,3,1,1,8,1,1,1229,0,0
0.50,4,14,0,1,14,4,1,125,1,1
0.59,4,9,0,1,13,1,0,2161,0,0
0.87,1,11,1,1,8,2,0,2408,0,0
0.08,5,0,0,1,13,3,0,2376,0,0
0.33,4,5,1,1,9,2,1,1658,0,0
0.33,1,14,0,1,14,2,0,308,1,0
0.30,4,4,1,0,8,3,0,1644,1,1
0.56,5,10,1,1,3,4,1,1960,0,1
0.00,3,0,1,1,4,2,0,1312,0,0
0.07,4,4,0,0,7,4,0,611,0,1
0.98,1,7,1,0,4,4,0,2193,0,1
0.51,3,2,1,1,5,2,0,874,0,0
0.09,4,13,1,0,10,2,0,1614,0,0
0.98,2,11,1,0,11,3,0,937,0,1
0.98,4,8,1,1,11,3,0,1730,0,1
0.23,3,14,0,1,2,2,1,1572,1,1
0.07,1,13,1,0,14,2,0,2226,0,0
0.20,1,5,1,1,13,1,0,1386,0,0
0.27,5,5,1,0,14,4,0,1099,0,1
0.60,2,12,1,1,7,3,0,2145,1,1
0.65,2,6,1,0,14,3,0,738,0,1
0.39,4,1,0,0,7,4,0,2049,1,1
0.09,1,13,1,1,8,4,0,2398,0,0
0.07,4,4,1,1,10,4,0,958,0,1
0.62,1,12,1,1,12,1,0,174,1,1
0.80,1,3,1,1,1,1,0,678,0,0
0.69,2,11,1,0,12,1,0,1837,0,0
0.26,3,7,1,1,2,2,0,919,1,0
0.64,4,12,1,1,12,3,0,610,0,0
0.20,5,6,0,1,8,4,0,927,0,0
0.87,4,14,0,1,10,2,0,836,0,1
0.69,3,9,1,1,6,2,0,1378,0,1
0.94,1,5,1,0,0,1,0,2042,0,0
0.93,1,12,0,0,13,2,0,2305,0,1
0.58,3,5,0,0,2,1,1,1133,0,1
0.35,1,4,1,1,13,3,0,745,0,0
0.43,3,3,1,1,14,4,0,1248,0,0
0.33,3,2,1,1,6,4,0,636,0,0
0.26,4,5,0,1,10,2,1,2099,0,1
0.70,1,1,1,0,4,4,0,1582,0,0
