seller_age_days,verification_level,total_orders,seller_return_rate,seller_dispute_rate,wrong_item_rate,damaged_item_rate,avg_product_price,refund_before_inspection,negative_feedback_rate,seller_risk_label
1924,2,4311,0.18,0.46,0.03,0.34,8870.14,0,0.27,0
1652,1,548,0.60,0.10,0.03,0.25,6343.02,0,0.35,0
1713,0,3707,0.84,0.49,0.07,0.38,7212.62,1,0.07,1
14,0,4197,0.13,0.12,0.18,0.19,3957.61,0,0.22,0
1750,1,699,0.83,0.23,0.40,0.39,601.65,0,0.58,1
1043,1,2866,0.81,0.13,0.28,0.19,13580.55,1,0.38,0
1744,2,3955,0.38,0.40,0.02,0.20,3764.01,0,0.01,1
1274,1,3631,0.63,0.42,0.17,0.22,6867.53,0,0.05,0
293,1,4730,0.18,0.37,0.27,0.04,11181.21,1,0.15,1
249,2,3563,0.39,0.01,0.25,0.23,8215.08,1,0.38,1
1643,2,2887,0.89,0.16,0.25,0.09,1975.15,0,0.02,0
717,0,136,0.26,0.24,0.27,0.34,11114.77,1,0.23,1
268,0,2509,0.50,0.06,0.29,0.07,6616.03,0,0.16,0
1427,0,2662,0.25,0.33,0.29,0.13,14937.00,1,0.01,1
1557,0,1409,0.53,0.20,0.13,0.27,10029.62,1,0.48,1
219,2,538,0.84,0.22,0.03,0.03,5345.38,1,0.36,1
1189,2,2784,0.05,0.21,0.14,0.13,6104.26,1,0.24,0
1614,0,252,0.41,0.06,0.16,0.33,6987.81,0,0.01,1
812,2,3094,0.68,0.02,0.04,0.20,8594.35,1,0.25,0
1836,0,4417,0.53,0.31,0.06,0.21,10295.81,0,0.27,1
1769,0,4636,0.07,0.09,0.23,0.32,10030.55,1,0.58,0
1491,0,538,0.47,0.08,0.12,0.24,13703.00,0,0.12,0
1824,1,3502,0.74,0.04,0.35,0.03,4832.57,1,0.26,0
1276,2,3930,0.79,0.01,0.22,0.34,6140.40,1,0.23,0
59,2,3102,0.91,0.33,0.06,0.16,12789.58,0,0.57,1
564,1,2753,0.65,0.11,0.07,0.17,12321.89,1,0.34,1
1363,2,4471,0.91,0.33,0.38,0.01,5156.62,1,0.18,0
1406,0,603,0.87,0.44,0.11,0.39,4347.80,0,0.08,1
1133,2,3888,0.17,0.47,0.30,0.08,12279.94,1,0.50,1
1619,2,1807,0.41,0.17,0.14,0.29,12870.33,0,0.28,1
281,2,3768,0.19,0.10,0.20,0.28,1047.84,0,0.19,0
1292,2,1474,0.78,0.09,0.37,0.07,13326.36,1,0.57,1
1242,0,1643,0.43,0.41,0.04,0.27,2217.86,0,0.01,1
293,2,1667,0.76,0.26,0.24,0.39,11914.18,0,0.55,0
400,1,3102,0.50,0.22,0.01,0.25,14606.87,1,0.47,1
27,2,4612,0.05,0.35,0.26,0.21,11443.20,0,0.34,0
432,0,1882,0.82,0.47,0.22,0.12,11625.89,1,0.23,0
498,2,3798,0.28,0.02,0.21,0.17,3898.41,0,0.12,0
1779,2,917,0.01,0.30,0.36,0.19,5393.17,0,0.19,0
1312,0,4622,0.17,0.17,0.27,0.23,2875.90,0,0.32,0
537,0,4566,0.62,0.47,0.32,0.04,1667.84,1,0.09,1
11,2,1305,0.73,0.08,0.01,0.36,11772.20,0,0.21,0
1305,0,4924,0.78,0.09,0.20,0.03,7299.78,1,0.34,1
1836,2,3721,0.31,0.33,0.12,0.01,14453.89,1,0.30,0
663,0,123,0.62,0.37,0.32,0.04,13363.03,1,0.10,1
783,0,635,0.18,0.21,0.11,0.38,9146.20,0,0.24,1
450,0,3620,0.64,0.18,0.01,0.29,7621.82,0,0.54,1
1784,2,2726,0.87,0.33,0.32,0.29,2501.02,0,0.14,0
345,1,495,0.45,0.23,0.00,0.28,9444.63,0,0.58,0
1133,1,3016,0.92,0.48,0.29,0.09,14421.66,0,0.43,0
1419,2,2183,0.29,0.04,0.16,0.05,8330.51,1,0.13,0
482,0,3263,0.94,0.17,0.15,0.16,10050.92,1,0.12,0
975,1,2647,0.92,0.37,0.27,0.38,4996.79,1,0.09,1
389,0,4987,0.09,0.10,0.14,0.27,10272.91,1,0.49,1
1924,1,3185,0.41,0.46,0.08,0.24,1801.16,0,0.08,0
348,1,444,0.47,0.08,0.25,0.13,13963.70,1,0.32,1
855,2,211,0.72,0.48,0.12,0.31,6420.54,0,0.33,1
489,2,3677,0.71,0.35,0.37,0.25,3422.12,1,0.26,1
1798,1,2887,0.10,0.04,0.07,0.33,11667.07,0,0.24,0
1300,1,286,0.95,0.03,0.28,0.14,4487.96,0,0.11,0
704,1,4028,0.24,0.17,0.09,0.05,5032.68,0,0.48,0
739,1,4041,0.45,0.29,0.04,0.36,2234.03,0,0.58,1
137,2,3379,0.89,0.06,0.13,0.30,3223.33,1,0.45,1
832,2,487,0.98,0.19,0.11,0.32,8337.65,0,0.34,1
587,2,842,0.12,0.41,0.10,0.01,2904.69,0,0.31,1
1873,1,2362,0.80,0.11,0.03,0.30,10440.23,1,0.57,1
812,0,197,0.49,0.18,0.36,0.21,1962.96,1,0.13,0
1828,2,4415,1.00,0.38,0.18,0.36,9096.10,1,0.03,1
131,2,2808,0.67,0.11,0.11,0.07,1702.46,1,0.52,1
1117,2,3264,0.51,0.23,0.27,0.34,8908.23,0,0.60,1
1769,1,1109,0.85,0.48,0.01,0.27,11211.99,1,0.04,1
1890,0,4589,0.27,0.46,0.04,0.15,10722.37,1,0.54,1
701,2,3155,0.83,0.04,0.28,0.35,12629.75,1,0.03,1
1616,2,1090,0.86,0.10,0.00,0.03,14210.63,0,0.01,0
591,0,4284,0.53,0.40,0.31,0.06,12960.94,1,0.29,1
722,1,1984,0.28,0.06,0.32,0.10,14039.56,1,0.44,0
1392,1,3911,0.73,0.21,0.19,0.16,2587.52,0,0.04,0
1406,2,2320,0.23,0.00,0.01,0.01,10404.71,0,0.35,0
810,2,1686,0.90,0.40,0.15,0.14,10544.60,0,0.08,0
811,1,2686,0.35,0.13,0.22,0.02,6921.21,0,0.27,0
1386,2,1043,0.41,0.29,0.26,0.37,13417.37,0,0.51,1
1358,2,858,0.12,0.36,0.32,0.33,4953.69,0,0.11,0
1580,0,3428,0.68,0.16,0.12,0.30,12980.48,1,0.24,1
642,0,403,0.40,0.24,0.10,0.20,5295.25,0,0.04,1
47,0,152,0.36,0.42,0.15,0.24,5452.02,0,0.19,1
1740,2,2882,0.31,0.21,0.26,0.09,8782.74,0,0.58,0
1872,2,3300,0.09,0.27,0.24,0.07,6657.22,1,0.14,0
935,0,4017,0.73,0.26,0.36,0.13,1966.04,0,0.49,1
876,0,3137,0.87,0.12,0.11,0.21,3947.50,0,0.54,1
1157,0,259,0.19,0.13,0.40,0.21,11956.06,1,0.48,1
1694,0,1175,0.74,0.41,0.32,0.27,3093.71,0,0.28,1
678,1,4899,0.76,0.07,0.36,0.03,5597.63,1,0.22,0
1900,1,1704,0.07,0.49,0.00,0.28,5560.93,0,0.45,1
946,2,2236,0.71,0.31,0.14,0.39,7201.13,0,0.47,1
1788,0,2836,0.74,0.43,0.28,0.09,8566.54,1,0.33,1
1040,0,3968,0.73,0.15,0.20,0.02,5515.53,0,0.54,1
516,2,484,0.50,0.13,0.12,0.36,8014.18,1,0.35,1
1397,2,2681,0.13,0.07,0.03,0.19,8591.28,1,0.49,0
512,0,582,0.07,0.05,0.30,0.30,9314.39,1,0.18,1
85,0,3234,0.76,0.04,0.06,0.11,931.18,0,0.20,1
42,1,3102,0.90,0.01,0.19,0.13,8387.51,1,0.34,0
850,2,345,0.10,0.21,0.01,0.37,11570.70,0,0.01,0
51,1,989,0.73,0.27,0.17,0.31,13992.11,1,0.42,1
1912,0,3271,0.65,0.07,0.33,0.18,7011.90,0,0.44,1
931,0,2290,0.15,0.05,0.06,0.00,2206.85,0,0.12,0
300,2,70,0.98,0.31,0.36,0.33,2027.14,1,0.24,1
1892,2,423,0.61,0.41,0.28,0.38,10765.86,1,0.03,1
514,2,206,0.87,0.02,0.35,0.19,11393.61,1,0.28,0
365,1,4366,0.33,0.44,0.01,0.11,13189.59,1,0.24,0
386,2,4285,0.98,0.21,0.01,0.36,7406.72,0,0.44,1
713,1,2763,0.66,0.20,0.19,0.31,744.66,1,0.37,1
1124,0,2393,0.15,0.47,0.00,0.24,5465.54,1,0.16,0
778,2,3500,0.87,0.24,0.25,0.23,7104.15,0,0.29,0
1486,1,4218,0.66,0.17,0.18,0.29,7347.73,1,0.05,0
458,1,549,0.79,0.35,0.21,0.25,13610.05,0,0.19,0
572,0,4602,0.00,0.27,0.10,0.25,10047.85,0,0.39,1
1102,2,1520,0.62,0.18,0.06,0.23,14209.40,0,0.59,0
807,1,2047,0.93,0.43,0.28,0.18,7196.15,0,0.55,1
1383,0,32,0.94,0.07,0.07,0.11,13651.71,1,0.22,1
1035,1,2490,0.89,0.39,0.12,0.12,8443.56,0,0.52,0
962,1,899,0.27,0.13,0.27,0.30,4109.03,0,0.45,0
393,2,2330,0.37,0.39,0.06,0.22,2986.86,0,0.08,0
172,1,2956,0.13,0.23,0.07,0.27,13247.48,0,0.29,0
446,1,2027,0.25,0.47,0.02,0.27,8650.35,0,0.19,0
1688,2,189,0.41,0.18,0.29,0.19,6162.50,0,0.46,0
1292,1,1340,0.21,0.46,0.28,0.18,6105.84,1,0.03,0
1983,0,365,0.65,0.29,0.05,0.14,1867.37,1,0.16,0
640,2,4891,0.91,0.01,0.18,0.39,5818.33,0,0.24,0
1267,2,3214,0.32,0.30,0.09,0.32,303.42,1,0.56,1
1120,0,2085,0.19,0.05,0.23,0.23,12116.49,1,0.26,0
802,1,1629,0.12,0.21,0.30,0.18,5014.21,1,0.31,1
1871,2,1736,0.86,0.12,0.03,0.01,4707.99,0,0.01,0
340,0,742,0.62,0.34,0.23,0.26,8365.92,1,0.40,1
829,2,4103,0.80,0.10,0.17,0.01,5171.95,1,0.54,1
499,0,1954,0.51,0.15,0.26,0.21,7591.61,1,0.23,1
592,0,312,0.94,0.33,0.37,0.28,1137.56,1,0.36,1
1638,1,2328,0.64,0.31,0.06,0.29,2012.21,1,0.58,0
505,1,757,0.85,0.03,0.29,0.39,1006.63,0,0.11,1
361,0,1157,0.27,0.16,0.35,0.08,12485.99,0,0.21,0
1235,0,637,0.49,0.40,0.25,0.02,4438.93,1,0.46,1
1899,0,4096,0.60,0.43,0.32,0.33,1640.15,0,0.27,1
558,0,2885,0.64,0.30,0.32,0.02,4619.28,0,0.47,1
1365,1,4438,0.50,0.10,0.13,0.20,4905.61,1,0.60,0
436,0,3896,0.25,0.17,0.19,0.20,11523.08,1,0.02,0
1923,0,2423,0.54,0.16,0.29,0.30,7706.79,0,0.21,1
1670,0,3224,0.41,0.17,0.22,0.40,6438.32,1,0.29,1
754,0,4866,0.02,0.33,0.18,0.17,14733.92,0,0.55,1
214,2,3128,0.03,0.18,0.09,0.39,2563.93,1,0.22,0
278,1,5003,0.60,0.22,0.08,0.40,4662.57,1,0.42,1
737,1,1287,0.56,0.28,0.26,0.26,4251.39,0,0.21,1
470,0,1767,0.76,0.45,0.00,0.05,3583.70,1,0.06,1
1180,1,512,0.76,0.11,0.01,0.39,12557.43,0,0.30,1
69,1,4490,0.50,0.39,0.29,0.37,14594.46,1,0.57,1
1633,2,1958,0.75,0.14,0.08,0.10,7972.65,0,0.18,0
779,0,4413,0.48,0.37,0.11,0.05,14845.00,0,0.23,0
100,0,4124,0.35,0.12,0.07,0.32,529.99,0,0.13,1
132,1,374,0.47,0.33,0.30,0.23,11111.14,0,0.02,1
182,1,2473,0.95,0.08,0.13,0.25,5007.11,1,0.03,1
506,1,1676,0.26,0.47,0.24,0.02,2199.02,0,0.40,1
943,2,3715,0.22,0.37,0.22,0.38,7129.46,0,0.08,0
1964,2,756,0.03,0.47,0.23,0.21,7301.18,1,0.25,0
1013,0,4157,0.72,0.40,0.32,0.32,3881.32,0,0.05,1
1287,2,485,0.94,0.48,0.13,0.38,8093.32,0,0.39,0
1512,1,4787,0.82,0.39,0.26,0.07,12232.26,1,0.31,1
1382,0,1914,0.90,0.01,0.35,0.32,7866.21,0,0.37,1
1502,2,1138,0.21,0.40,0.21,0.06,9814.41,0,0.18,0
224,1,855,0.08,0.25,0.29,0.09,11816.06,0,0.58,1
1097,1,613,0.75,0.18,0.06,0.29,8818.79,0,0.52,1
228,2,1308,0.92,0.00,0.35,0.34,8828.64,1,0.28,0
1272,1,3388,0.88,0.26,0.10,0.13,2593.88,1,0.06,0
1306,2,1758,0.48,0.02,0.36,0.16,12461.06,0,0.34,0
1488,0,2993,0.40,0.32,0.21,0.29,12401.90,0,0.02,1
1259,2,3060,0.10,0.23,0.35,0.07,6113.10,1,0.30,1
892,1,1364,0.73,0.44,0.39,0.20,8463.74,0,0.48,1
566,1,1879,0.23,0.11,0.01,0.28,2462.76,1,0.25,0
1437,2,987,0.84,0.28,0.12,0.28,1014.42,0,0.30,1
1977,0,1673,0.33,0.26,0.10,0.28,1228.14,0,0.11,0
440,2,4806,0.62,0.49,0.38,0.06,7649.15,0,0.15,0
1727,1,365,0.01,0.18,0.02,0.03,6934.84,1,0.12,0
1149,2,3326,0.02,0.45,0.06,0.14,9744.46,1,0.40,0
1837,0,869,0.43,0.16,0.13,0.25,701.46,1,0.04,1
89,1,4174,0.66,0.40,0.18,0.26,11524.65,1,0.57,1
132,1,4438,0.35,0.22,0.22,0.09,3046.07,1,0.46,1
722,0,1255,0.43,0.44,0.13,0.29,9368.92,0,0.53,1
1604,2,653,0.88,0.12,0.22,0.27,2362.42,0,0.52,0
420,2,2813,0.46,0.10,0.22,0.29,13763.66,0,0.31,0
114,2,3063,0.68,0.33,0.31,0.39,10371.03,0,0.00,1
1169,0,78,0.12,0.40,0.19,0.16,5101.81,0,0.43,0
1646,0,281,0.98,0.13,0.31,0.27,11893.34,1,0.59,1
209,0,222,0.04,0.49,0.20,0.25,13016.72,0,0.36,0
111,1,1222,0.68,0.19,0.24,0.10,10746.69,0,0.52,1
1905,0,4950,0.17,0.14,0.16,0.12,12995.27,1,0.55,0
288,0,2128,0.70,0.02,0.00,0.26,7623.93,1,0.34,1
674,1,4120,0.42,0.28,0.24,0.17,4669.55,0,0.32,0
1803,2,2023,0.90,0.13,0.28,0.02,3830.87,0,0.13,0
1398,2,2362,0.93,0.02,0.16,0.10,4827.89,0,0.59,0
437,0,2801,0.15,0.16,0.10,0.30,3078.08,1,0.13,0
1791,1,1851,0.49,0.12,0.14,0.34,14705.54,1,0.06,0
410,0,1066,0.69,0.33,0.33,0.10,4822.72,0,0.02,1
743,1,3930,0.38,0.39,0.35,0.22,7194.28,0,0.47,1
119,0,1888,0.39,0.50,0.21,0.32,3887.05,0,0.45,1
1596,0,299,0.83,0.13,0.39,0.36,8964.38,1,0.26,1
1221,1,607,0.51,0.23,0.35,0.30,4812.25,0,0.52,1
1991,0,1488,0.98,0.35,0.39,0.13,7860.97,0,0.04,1
94,1,4717,0.13,0.47,0.09,0.04,2063.60,1,0.00,1
399,0,1909,0.70,0.18,0.09,0.01,3346.70,0,0.51,1
1129,1,2570,0.36,0.45,0.31,0.19,10746.68,0,0.56,1
514,1,1329,0.53,0.05,0.01,0.21,2226.21,0,0.49,0
767,1,4758,0.41,0.32,0.04,0.10,12451.60,1,0.54,1
1277,0,3503,0.88,0.28,0.04,0.31,2043.73,1,0.38,1
1711,1,1966,0.02,0.05,0.12,0.10,3299.38,1,0.48,1
1884,2,2304,0.54,0.28,0.25,0.09,12937.17,0,0.03,0
565,2,2822,0.71,0.06,0.18,0.35,3576.21,0,0.32,0
880,2,1527,0.51,0.04,0.24,0.31,11844.85,0,0.30,0
1616,1,2497,0.37,0.34,0.31,0.09,14242.37,1,0.04,1
1643,2,872,0.84,0.15,0.01,0.01,10356.18,1,0.24,0
140,0,3565,0.24,0.13,0.34,0.33,4412.76,1,0.04,1
1049,0,1679,0.29,0.16,0.20,0.06,13701.25,1,0.19,0
22,2,2276,0.93,0.46,0.38,0.26,14424.90,1,0.08,1
891,1,1527,0.62,0.26,0.18,0.35,11998.84,0,0.30,1
1191,0,2162,0.65,0.09,0.23,0.34,300.17,1,0.33,1
798,1,487,0.02,0.49,0.39,0.01,14009.39,0,0.59,0
1753,0,4262,0.31,0.44,0.23,0.04,5361.20,1,0.56,1
1773,1,622,0.84,0.28,0.31,0.21,11493.51,0,0.21,1
1470,0,1902,0.42,0.25,0.18,0.11,10048.71,1,0.05,1
356,1,4914,0.19,0.08,0.10,0.32,14417.19,0,0.14,0
1115,2,2453,0.02,0.04,0.08,0.32,10303.16,0,0.28,0
1953,0,4048,0.15,0.48,0.10,0.23,13525.97,1,0.22,0
1201,0,2943,0.64,0.27,0.27,0.12,813.52,1,0.35,1
1355,1,2587,1.00,0.26,0.37,0.25,10742.66,0,0.33,1
993,2,3742,0.41,0.15,0.38,0.28,10681.31,1,0.05,1
1309,2,4755,0.24,0.23,0.12,0.32,14948.20,0,0.03,0
922,2,1728,0.06,0.29,0.04,0.34,11381.06,0,0.31,0
1604,0,4456,0.19,0.05,0.30,0.21,13558.31,1,0.55,1
1665,2,467,0.20,0.15,0.30,0.11,2264.61,0,0.03,0
707,2,4825,0.88,0.50,0.12,0.12,10267.36,1,0.34,1
1501,2,3598,0.18,0.12,0.17,0.14,5206.06,0,0.41,0
111,2,4620,0.57,0.20,0.25,0.30,6791.09,0,0.41,0
238,1,1357,0.68,0.04,0.33,0.09,4361.86,1,0.41,1
475,1,2116,0.97,0.22,0.27,0.18,5360.49,0,0.07,1
1129,2,111,0.48,0.12,0.38,0.28,14323.75,1,0.41,1
1905,1,1361,0.40,0.02,0.34,0.38,9545.17,1,0.06,1
1650,0,207,0.57,0.42,0.05,0.21,11553.39,0,0.00,1
1099,2,624,0.26,0.32,0.08,0.03,4394.46,1,0.59,0
1205,1,13,0.69,0.20,0.02,0.36,6522.12,0,0.01,1
1660,0,4946,0.61,0.48,0.06,0.11,11496.74,0,0.40,1
1063,0,4758,0.60,0.19,0.34,0.00,4819.29,1,0.47,1
1598,2,233,0.80,0.16,0.21,0.36,3618.42,0,0.36,1
659,2,3334,0.99,0.37,0.40,0.08,3044.92,1,0.59,1
376,2,3294,0.31,0.27,0.06,0.28,3005.00,0,0.50,1
1869,1,1601,0.03,0.19,0.39,0.14,2576.18,0,0.11,0
445,0,4995,0.59,0.38,0.03,0.01,6084.55,1,0.55,1
619,1,2082,0.89,0.37,0.08,0.15,13039.33,0,0.23,0
758,2,1833,0.60,0.49,0.30,0.10,1910.79,1,0.58,1
1743,1,3840,0.98,0.06,0.01,0.30,3350.59,1,0.48,1
610,0,2392,0.53,0.27,0.17,0.30,5017.73,1,0.41,1
343,0,2886,0.22,0.14,0.32,0.36,5857.06,1,0.35,1
1544,2,5008,0.70,0.03,0.36,0.03,11436.10,0,0.54,0
888,0,4270,0.76,0.22,0.24,0.02,15242.66,1,0.41,1
4,2,3738,0.35,0.17,0.10,0.30,13858.52,0,0.45,0
430,1,3990,0.38,0.11,0.38,0.27,3706.71,0,0.27,0
386,1,981,0.52,0.08,0.04,0.01,15049.54,0,0.44,1
1456,0,2331,0.69,0.21,0.03,0.15,1867.93,1,0.48,1
756,2,2348,0.52,0.35,0.39,0.11,1220.89,0,0.18,0
1686,2,701,0.22,0.22,0.13,0.09,9341.61,0,0.55,0
1427,1,3993,0.61,0.26,0.34,0.24,4962.85,0,0.10,1
648,2,520,0.59,0.48,0.26,0.13,9107.21,0,0.03,0
1710,0,4480,0.97,0.22,0.07,0.24,5305.78,0,0.12,0
1335,2,776,0.32,0.37,0.10,0.10,8702.91,1,0.40,0
1546,2,315,0.06,0.47,0.06,0.33,4351.97,0,0.29,0
1226,1,3357,0.05,0.01,0.16,0.09,10741.31,0,0.60,0
1255,0,2988,0.83,0.06,0.07,0.12,1179.69,0,0.14,0
447,1,2193,0.08,0.33,0.19,0.16,14762.39,0,0.43,1
1012,0,854,0.44,0.21,0.19,0.21,2692.70,1,0.56,1
1478,2,4642,0.89,0.48,0.20,0.32,2209.96,0,0.37,1
551,1,4451,0.14,0.30,0.01,0.02,4585.93,1,0.17,0
1902,0,782,0.24,0.03,0.27,0.10,2350.26,0,0.39,0
571,0,3349,0.90,0.37,0.15,0.29,13929.99,0,0.32,1
409,1,2628,0.65,0.28,0.34,0.09,3903.18,0,0.40,1
900,2,416,0.24,0.45,0.03,0.08,1269.04,1,0.32,1
1632,2,3807,0.65,0.13,0.09,0.03,8604.54,0,0.27,0
1024,1,2609,0.05,0.28,0.05,0.37,14931.19,1,0.43,0
778,1,4123,0.54,0.25,0.13,0.21,8558.85,1,0.31,0
204,0,743,0.27,0.43,0.04,0.21,12822.87,0,0.25,0
1958,0,597,0.77,0.43,0.06,0.34,8721.59,0,0.45,1
1966,1,364,0.60,0.41,0.08,0.34,1027.82,1,0.09,1
1783,2,670,0.09,0.12,0.27,0.13,4654.69,1,0.31,0
980,0,2280,0.10,0.36,0.12,0.15,12165.05,0,0.35,1
1178,2,1123,0.71,0.22,0.38,0.19,7481.95,0,0.27,0
1019,1,1706,0.69,0.35,0.20,0.34,7625.44,1,0.58,1
1348,2,4624,0.21,0.28,0.02,0.32,2413.14,0,0.05,0
52,2,4521,0.06,0.16,0.23,0.20,5100.31,1,0.56,1
1882,0,1358,0.66,0.49,0.10,0.03,13126.67,0,0.09,1
1610,0,1942,0.17,0.44,0.17,0.19,4264.21,0,0.08,0
261,2,3722,0.66,0.32,0.25,0.02,8161.97,1,0.21,0
1702,0,926,0.05,0.12,0.10,0.33,8224.47,0,0.57,0
453,0,4895,0.96,0.34,0.16,0.36,7204.01,1,0.31,1
1648,0,2577,0.15,0.29,0.32,0.36,9769.41,1,0.10,1
750,0,3224,0.42,0.10,0.40,0.31,5409.64,1,0.21,0
157,0,383,0.98,0.04,0.10,0.37,4987.65,0,0.01,1
1031,2,4044,0.26,0.04,0.01,0.11,12748.65,0,0.57,0
331,2,3493,0.53,0.15,0.03,0.30,10550.15,0,0.16,0
1013,0,2739,0.92,0.19,0.25,0.10,7187.89,1,0.26,1
780,2,3879,0.97,0.39,0.16,0.05,12775.91,0,0.03,0
855,2,3400,0.84,0.15,0.32,0.38,8042.71,0,0.25,0
787,0,2686,0.46,0.03,0.35,0.36,13655.43,0,0.32,1
1120,2,2602,0.57,0.22,0.35,0.29,12191.70,0,0.25,1
1362,0,684,0.00,0.24,0.33,0.26,13960.07,0,0.23,1
1917,1,726,0.98,0.50,0.03,0.15,8196.40,1,0.15,0
1768,2,1384,0.08,0.29,0.14,0.13,11712.92,1,0.22,0
968,1,4339,0.22,0.41,0.14,0.37,3920.57,1,0.09,1
1469,0,796,0.33,0.02,0.38,0.11,1877.28,0,0.23,0
288,2,3379,0.89,0.22,0.32,0.32,940.71,1,0.56,1
5,1,4444,0.84,0.43,0.32,0.24,8642.59,0,0.30,1
203,2,1796,0.52,0.19,0.16,0.26,11657.62,0,0.04,0
503,1,1389,0.01,0.41,0.29,0.40,1746.51,0,0.60,1
1660,1,1165,0.57,0.42,0.31,0.14,14817.82,1,0.21,1
103,0,4346,0.52,0.18,0.03,0.11,1198.67,0,0.14,1
633,2,3294,0.15,0.40,0.22,0.28,8226.91,1,0.00,0
